企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社水野鉄工所,1200001005217,,,,水野辰博,info@miztec.jp,0.4,,,http://www.miztec.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001005217,人事部 ご採用ご担当者様,航空宇宙機器部品加工組み立て 油圧機器部品加工 航空機用治工具設計製作,岐阜県関市倉知４５３９番地１０,198,,1958,2026-06-14T13:58:35.184Z
富士変速機株式会社,1200001004458,,,,市原英孝,info@fujihensokuki.co.jp,0.4,,,https://www.fujihensokuki.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001004458,人事部 ご採用ご担当者様,1.変速機、減速機の製造ならびに販売。 2.各種駐車場装置の製造ならびに販売。 3.各種工作機械、工業用機械およびその部,岐阜県岐阜市中洲町１８番地,242,,1965,2026-06-14T13:58:35.193Z
株式会社ユニオン,1200001005687,,,,村橋塁,info@theunion.co.jp,0.4,,,https://www.theunion.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001005687,人事部 ご採用ご担当者様,建設コンサルタント・測量業・補償コンサルタント,岐阜県岐阜市西河渡２丁目５７番地,125,,1971,2026-06-14T13:58:35.196Z
株式会社丸泰,1200001005051,,,,伊藤寛章,info@maruyasu-gr.co.jp,0.4,,,https://www.maruyasu-gr.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001005051,人事部 ご採用ご担当者様,建設施工、資材販売、宿泊業,岐阜県岐阜市領下６丁目４６番地,75,,1951,2026-06-14T13:58:35.196Z
株式会社ワークリレーション,1200001006017,,,,青木聡,info@work-re.com,0.4,,,http://www.work-re.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001006017,人事部 ご採用ご担当者様,人材派遣業,岐阜県岐阜市六条北４丁目６番６号,247,,2001,2026-06-14T13:58:35.204Z
株式会社人材Ｂａｎｋ,1200001008475,,,,渡邉賢司,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001008475,人事部 ご採用ご担当者様,労働者派遣業,岐阜県岐阜市茜部大川１丁目５１番地,244,,2006,2026-06-14T13:58:35.209Z
篠田株式会社,1200001011090,,,,篠田圭司,info@gifu-shinoda.co.jp,0.4,,,https://www.gifu-shinoda.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001011090,人事部 ご採用ご担当者様,１．土木建設資材の販売 ２．建設機械の販売・修理 ３．エコ商品の販売 ４．建設業(土木工事業、とび・土工工事業、鋼構造物,岐阜県羽島郡岐南町野中１丁目８番地,206,,1985,2026-06-14T13:58:35.233Z
大垣ガス株式会社,1200001013368,,,,上田元久,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001013368,人事部 ご採用ご担当者様,ガス事業,岐阜県大垣市寺内町３丁目６７番地,104,,1912,2026-06-14T13:58:35.244Z
株式会社可児ゴルフ倶楽部,1200001017708,,,,岩瀬弘,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001017708,人事部 ご採用ご担当者様,,岐阜県可児市久々利向平２２１番地の２,302,,,2026-06-14T13:58:35.291Z
セブン工業株式会社,1200001017170,,,,木下浩一,info@seven-gr.co.jp,0.4,,,https://www.seven-gr.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001017170,人事部 ご採用ご担当者様,集成材、住宅部材の製造販売及び付帯事業,岐阜県美濃加茂市牧野１００６番地,509,,,2026-06-14T13:58:35.303Z
東濃建物管理株式会社,1200001017955,,,,河方誠,info@green-clean.jp,0.4,,,http://green-clean.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001017955,人事部 ご採用ご担当者様,建物総合管理,岐阜県可児市広見２丁目５７番地,307,,1979,2026-06-14T13:58:35.305Z
レシップ株式会社,1200001020323,,,,北野元昭,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001020323,人事部 ご採用ご担当者様,電気機械器具製造販売業,岐阜県本巣市上保１２６０番地の２,590,,2010,2026-06-14T13:58:35.310Z
セキュリティ東海株式会社,1200001020728,,,,瀬尾保雄,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1200001020728,人事部 ご採用ご担当者様,建物総合管理・警備・清掃,岐阜県多治見市音羽町４丁目２５番地,105,,1970,2026-06-14T13:58:35.316Z
株式会社技研サービス,2200001001537,,,,棚橋泰之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001001537,人事部 ご採用ご担当者様,建物総合管理,岐阜県岐阜市薮田南３丁目７番２０号,1583,,1964,2026-06-14T13:58:35.380Z
株式会社岐阜新聞社,2200001001347,,,,矢島薫,info@gifu-np.co.jp,0.4,,,https://www.gifu-np.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001001347,人事部 ご採用ご担当者様,日刊新聞発行,岐阜県岐阜市今小町１０番地,167,,1940,2026-06-14T13:58:35.383Z
株式会社中広,2200001003384,,,,大島斉,info@chuco.co.jp,0.4,,,http://www.chuco.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001003384,人事部 ご採用ご担当者様,総合広告業 地域情報誌発行、広告販促・企画運営,岐阜県岐阜市東興町２７番地,505,,1978,2026-06-14T13:58:35.390Z
中日技研株式会社,2200001003401,,,,國井一輝,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001003401,人事部 ご採用ご担当者様,,岐阜県岐阜市鏡島精華１丁目７番１９号,230,,1989,2026-06-14T13:58:35.397Z
昭和コンクリート工業株式会社,2200001002601,,,,村瀬大一郎,info@showa-con.co.jp,0.4,,,http://www.showa-con.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001002601,人事部 ご採用ご担当者様,ＰＣ橋梁・コンクリート二次製品などの設計施工製造販売,岐阜県岐阜市香蘭１丁目１番地,792,,1956,2026-06-14T13:58:35.409Z
株式会社美濃庄,2200001005273,,,,長村吉章,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001005273,人事部 ご採用ご担当者様,寝具、介護用品の販売及びリース,岐阜県岐阜市六条北２丁目１２番８号,85,,1951,2026-06-14T13:58:35.409Z
株式会社那加クレーンセンター,2200001007088,,,,小島裕二郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001007088,人事部 ご採用ご担当者様,教育、学習支援業,岐阜県各務原市那加新加納町３７７１番地,83,,1986,2026-06-14T13:58:35.435Z
株式会社ヒロコーポレーション,2200001008111,,,,伊藤玲子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2200001008111,人事部 ご採用ご担当者様,リネンサプライ業　寝具・衣類のリース,岐阜県岐阜市柳津町上佐波西５丁目３１番地,214,,1964,2026-06-14T13:58:35.435Z
株式会社浅井農園,1190001000038,,,,浅井雄一郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001000038,人事部 ご採用ご担当者様,,三重県津市高野尾町４９５１番地,137,,1975,2026-06-14T13:58:35.457Z
百五ビジネスサービス株式会社,1190001000896,,,,福澤紳一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001000896,人事部 ご採用ご担当者様,その他事業サービス業,三重県津市本町３３番２１号,175,,1979,2026-06-14T13:58:35.458Z
株式会社トピア,1190001005227,,,,佐々木英樹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001005227,人事部 ご採用ご担当者様,新製品の開発試作、限定小ロット部品加工、輸送用機器・電気機器等の試作板金、高精密機械加工、精密溶接加工、デザイン設計業務,三重県鈴鹿市一ノ宮町１４７７番１,720,,1973,2026-06-14T13:58:35.479Z
シンフォニア商事株式会社,1190001006712,,,,溝端浩輝,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001006712,人事部 ご採用ご担当者様,卸売業・小売業 設計・製造派遣・請負,三重県伊勢市竹ケ鼻町１００番地,301,,1970,2026-06-14T13:58:35.501Z
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,,,,山上英彦,,0,,,https://japan.ul.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001006514,人事部 ご採用ご担当者様,製品安全試験・認証、EMC（電磁環境両立性）測定・評価、セミナー提供,三重県伊勢市朝熊町４３８３番３２６,600,,1980,2026-06-14T13:58:35.507Z
株式会社安永,1190001008733,,,,安永暁俊,info@fine-yasunaga.co.jp,0.4,,,http://www.fine-yasunaga.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001008733,人事部 ご採用ご担当者様,エンジン部品、工作機械の製造販売 ワイヤソー本体及びその加工用工具部品の製造・販売 検査測定装置の製造・販売,三重県伊賀市緑ケ丘中町３８６０番地,583,,,2026-06-14T13:58:35.533Z
株式会社クラウン警備保障,1190001010920,,,,丸山臣彦,info@clg.co.jp,0.4,,,http://www.clg.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001010920,人事部 ご採用ご担当者様,機械警備業務、ホームセキュリティサービス、施設警備業務、交通誘導警備業務、雑踏警備業務、保安警備業務,三重県松阪市久保町１８５５番地５０３,180,,1999,2026-06-14T13:58:35.553Z
チヨダウーテ株式会社,1190001015556,,,,平田芳久,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001015556,人事部 ご採用ご担当者様,内装建築資材『せっこうボード』の製造販売を行っております。,三重県四日市市住吉町１５番２号,400,,,2026-06-14T13:58:35.579Z
株式会社シー・ティー・ワイ,1190001015093,,,,渡部一貴,info@cty-cns.jp,0.4,,,https://cty-cns.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1190001015093,人事部 ご採用ご担当者様,一般放送事業 電気通信事業,三重県四日市市本町８番２号,226,,1988,2026-06-14T13:58:35.585Z
株式会社三水フーズ,2190001006686,,,,上村昌路,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001006686,人事部 ご採用ご担当者様,,三重県伊勢市下野町６５３番地２０,135,,1980,2026-06-14T13:58:35.650Z
シンフォニアエンジニアリング株式会社,2190001006711,,,,永井博幸,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001006711,人事部 ご採用ご担当者様,,三重県伊勢市竹ケ鼻町９９番地９６,481,,1970,2026-06-14T13:58:35.654Z
株式会社三十三銀行,2190001010309,,,,頭取岩間弘,info@33bank.co.jp,0.4,,,http://www.33bank.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001010309,人事部 ご採用ご担当者様,銀行業,三重県四日市市西新地７番８号,2233,,,2026-06-14T13:58:35.665Z
株式会社東名,2190001015679,,,,日比野直人,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001015679,人事部 ご採用ご担当者様,,三重県四日市市八田２丁目１番３９号,652,,,2026-06-14T13:58:35.715Z
株式会社扇港電機,2190001015290,,,,横山大幸,info@senko-grp.co.jp,0.4,,,http://www.senko-grp.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001015290,人事部 ご採用ご担当者様,電気設備資材・機器卸売,三重県四日市市北浜町８番１６号,925,,1949,2026-06-14T13:58:35.744Z
株式会社スズキ自販滋賀,1160001001088,,,,堤光昭,info@suzuki.co.jp,0.4,,,https://www.suzuki.co.jp/dealer/sj-shiga/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001001088,人事部 ご採用ご担当者様,自動車販売修理,滋賀県栗東市六地蔵１１７２番,193,,1978,2026-06-14T13:58:35.753Z
第一設計監理株式会社,1160001004933,,,,谷口征司,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001004933,人事部 ご採用ご担当者様,建設コンサルタント業,滋賀県湖南市中央１丁目６番地,123,,1979,2026-06-14T13:58:35.772Z
株式会社アイ・シー・エス,2190001006372,,,,御村恭至,info@ise-ics.co.jp,0.4,,,http://www.ise-ics.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001006372,人事部 ご採用ご担当者様,システムソフトウェア開発事業、システムソフトウェア商品事業、システム保守サービス事業、情報機器販売事業,三重県伊勢市竹ケ鼻町１００番地,169,,1978,2026-06-14T13:58:35.788Z
タカラバイオ株式会社,1160001002490,,,,仲尾功一,info@takara-bio.co.jp,0.4,,,http://www.takara-bio.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001002490,人事部 ご採用ご担当者様,研究用試薬、理化学機器の開発製造販売、再生医療等製品の開発製造支援サービス、遺伝子解析受託サービス、遺伝子治療の臨床開発,滋賀県草津市野路東７丁目４番３８号,800,,2002,2026-06-14T13:58:35.788Z
近江鉄道株式会社,1160001008109,,,,藤井高明,info@ohmitetudo.co.jp,0.4,,,http://www.ohmitetudo.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001008109,人事部 ご採用ご担当者様,鉄道事業、自動車運送事業、観光事業、不動産事業、旅行業　他,滋賀県彦根市駅東町１５番１,920,,1896,2026-06-14T13:58:35.830Z
ジャパンマテリアル株式会社,2190001015191,,,,田中久男,info@j-materials.jp,0.4,,,http://www.j-materials.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001015191,人事部 ご採用ご担当者様,①エレクトロニクス関連事業 ②グラフィックスソリューション事業,三重県三重郡菰野町大字永井３０９８番２２,429,,1997,2026-06-14T13:58:35.832Z
滋賀ダイハツ販売株式会社,1160001013406,,,,鳥居和浩,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001013406,人事部 ご採用ご担当者様,,滋賀県栗東市大橋４丁目１番５号,437,,1954,2026-06-14T13:58:35.855Z
滋賀日野自動車株式会社,1160001014544,,,,荒木啓太,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001014544,人事部 ご採用ご担当者様,,滋賀県栗東市小柿３丁目２番３０号,115,,2008,2026-06-14T13:58:35.890Z
株式会社アイテス,1160001016292,,,,五十嵐靖行,info@ites.co.jp,0.4,,,https://www.ites.co.jp/news/news202303-2.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1160001016292,人事部 ご採用ご担当者様,■太陽電池検査装置など各種検査装置の開発・販売 ■電子部品・材料の受託分析・解析・信頼性試験サービス　■法人向けPC・,滋賀県大津市栗林町１番６０号,100,,1993,2026-06-14T13:58:35.924Z
株式会社内田組,2160001000205,,,,内田美千男,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001000205,人事部 ご採用ご担当者様,総合建設業,滋賀県大津市大江２丁目３３番３号,85,,1970,2026-06-14T13:58:35.943Z
島津産機システムズ株式会社,2160001000964,,,,小西昭士,info@sis.shimadzu.co.jp,0.4,,,https://www.sis.shimadzu.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001000964,人事部 ご採用ご担当者様,一般機械器具製造業 産業機械の製造・販売,滋賀県大津市月輪１丁目８番１号,300,,1962,2026-06-14T13:58:35.960Z
株式会社近畿予防医学研究所,2160001000535,,,,広田周一,info@kinkiyoken.co.jp,0.4,,,https://www.kinkiyoken.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001000535,人事部 ご採用ご担当者様,臨床検査事業 調剤薬局事業 福祉用具、介護用品の販売、レンタル事業 サービス付き高齢者向け住宅の事業 通所介護、訪問介護,滋賀県大津市湖城が丘１９番９号,588,,1962,2026-06-14T13:58:35.968Z
株式会社アサプリ,2190001013443,,,,松岡祐司,info@asapri.co.jp,0.4,,,http://www.asapri.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001013443,人事部 ご採用ご担当者様,印刷業,三重県桑名市大字安永９２３番地,164,,2005,2026-06-14T13:58:35.974Z
株式会社伊藤組,2160001009444,,,,奥村善行,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001009444,人事部 ご採用ご担当者様,,滋賀県彦根市小泉町７８番地の２１,52,,2008,2026-06-14T13:58:36.021Z
キタイ設計株式会社,2160001010600,,,,梶雅弘,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001010600,人事部 ご採用ご担当者様,建設コンサルタント,滋賀県近江八幡市安土町上豊浦１０３０番地,204,,1966,2026-06-14T13:58:36.027Z
アインズ株式会社,2160001010617,,,,谷口彰,info@shiga-web.or.jp,0.4,,,https://www.shiga-web.or.jp/eins/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001010617,人事部 ご採用ご担当者様,印刷・同関連業,滋賀県蒲生郡竜王町鏡２２９１番地３,260,,1961,2026-06-14T13:58:36.056Z
キノンビクス株式会社,2160001013322,,,,福永悟,info@kinon.co.jp,0.4,,,https://www.kinon.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001013322,人事部 ご採用ご担当者様,電気工事、電気通信工事,滋賀県栗東市高野５７７番地１,102,,1970,2026-06-14T13:58:36.062Z
株式会社協同,1210001007526,,,,西川源徳,info@kwl.co.jp,0.4,,,http://kwl.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1210001007526,人事部 ご採用ご担当者様,服飾副資材卸,岡山県倉敷市児島下の町９丁目１２番コ２号,112,,1973,2026-06-14T13:58:36.126Z
株式会社岡山製紙,1260001001078,,,,宮田正樹,info@okayamaseishi.co.jp,0.4,,,https://okayamaseishi.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001001078,人事部 ご採用ご担当者様,中芯原紙、紙管原紙、平板及び美粧段ボールの製造・販売,岡山県岡山市南区浜野１丁目４番３４号,191,,,2026-06-14T13:58:36.136Z
株式会社建美装社,1260001002282,,,,山下祐一郎,info@kenbisosha.co.jp,0.4,,,https://www.kenbisosha.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001002282,人事部 ご採用ご担当者様,総合ビルメンテナンス,岡山県岡山市中区江崎７２４番地５,199,,1973,2026-06-14T13:58:36.163Z
エネサーブ株式会社,2160001003901,,,,井上博司,info@eneserve.co.jp,0.4,,,https://www.eneserve.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001003901,人事部 ご採用ご担当者様,総合エネルギーサービス業,滋賀県大津市月輪２丁目１９番６号,313,,1965,2026-06-14T13:58:36.166Z
三洋環境株式会社,1260001002712,,,,小林寛嗣,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001002712,人事部 ご採用ご担当者様,,岡山県岡山市北区下伊福上町８番２０号,700,,1975,2026-06-14T13:58:36.174Z
株式会社トヨタレンタリース岡山,1260001004799,,,,梶谷俊介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001004799,人事部 ご採用ご担当者様,レンタカー・カーリース事業,岡山県岡山市南区新保６５１番地３,216,,1971,2026-06-14T13:58:36.211Z
株式会社山陽セフティ,1260001002654,,,,神坂伸一,info@sanyo-safety.com,0.4,,,http://www.sanyo-safety.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001002654,人事部 ご採用ご担当者様,警備業 （施設警備、機械警備、イベント警備）,岡山県岡山市北区西長瀬１２０６番地７,278,,1972,2026-06-14T13:58:36.212Z
両備トランスポート株式会社,1250001004024,,,,荒木一守,,0,,,https://ryobitransport.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1250001004024,人事部 ご採用ご担当者様,両備グループの部流部門として、両備トランスポートは長年蓄積した現場ノウハウと管理手法、ローコストオペレーションで強力にサ,岡山県岡山市中区新築港９番地の４,855,,1999,2026-06-14T13:58:36.235Z
株式会社中国銀行,1260001006093,,,,頭取加藤貞則,info@chugin.co.jp,0.4,,,http://www.chugin.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001006093,人事部 ご採用ご担当者様,普通銀行業,岡山県岡山市北区丸の内１丁目１５番２０号,4205,,,2026-06-14T13:58:36.244Z
コーホク印刷株式会社,1260001002373,,,,安井英規,info@kohhoku.co.jp,0.4,,,http://www.kohhoku.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001002373,人事部 ご採用ご担当者様,印刷業,岡山県岡山市北区高柳東町１０番２７号,103,,1957,2026-06-14T13:58:36.276Z
株式会社グロップサンセリテ,1260001008354,,,,佐々岡英和,info@grop-sincerite.co.jp,0.4,,,https://www.grop-sincerite.co.jp/sincerite,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001008354,人事部 ご採用ご担当者様,業務請負,岡山県岡山市北区今８丁目６番１４号,98,,2004,2026-06-14T13:58:36.287Z
株式会社ベネッセコーポレーション（閉鎖）,1260001011820,,,,岩瀬大輔,info@benesse.co.jp,0.4,,,http://www.benesse.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001011820,人事部 ご採用ご担当者様,ベネッセコーポレーションは、教育・家庭事業領域において、 各カンパニーが商品・サービスを提供しています。 ◆教育◆,岡山県岡山市北区南方３丁目７番１７号,2935,,2009,2026-06-14T13:58:36.296Z
カーツ株式会社,1260001009187,,,,勝矢雅一,info@kaaz.co.jp,0.4,,,https://www.kaaz.co.jp/index.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001009187,人事部 ご採用ご担当者様,小型エンジンなどの設計・開発,岡山県岡山市東区西大寺五明３８７番地１,108,,1979,2026-06-14T13:58:36.300Z
キヤノンマシナリー株式会社,2160001013058,,,,田島純一,,0,,,https://machinery.canon/ja/index.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2160001013058,人事部 ご採用ご担当者様,先端分野の自動化・省力化装置の設計・製造・販売,滋賀県草津市南山田町字縄手崎８５番地,627,,1972,2026-06-14T13:58:36.308Z
株式会社コーセイカン,1260001013271,,,,内田正男,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001013271,人事部 ご採用ご担当者様,総合印刷業,岡山県倉敷市下庄１１２６番の６,88,,1955,2026-06-14T13:58:36.323Z
中国精油株式会社,1260001004262,,,,樋口克彦,info@chusei-oil.com,0.4,,,https://www.chusei-oil.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001004262,人事部 ご採用ご担当者様,石油及び石油化学製品製造・販売,岡山県岡山市北区中山下２丁目１番７７号,168,,1941,2026-06-14T13:58:36.339Z
株式会社クラレ,1260001013156,,,,川原仁,info@kuraray.co.jp,0.4,,,http://www.kuraray.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001013156,人事部 ご採用ご担当者様,樹脂・化成品・繊維の研究開発・製造・販売,岡山県倉敷市酒津１６２１番地,4569,,,2026-06-14T13:58:36.339Z
株式会社ジェイ・イー・ティ,1260001018766,,,,平井洋行,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001018766,人事部 ご採用ご担当者様,,岡山県浅口郡里庄町大字新庄字金山６０７８番,181,,,2026-06-14T13:58:36.377Z
株式会社エルジオ,1260001022339,,,,木村雄介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001022339,人事部 ご採用ご担当者様,石油製品販売,岡山県玉野市日比５丁目９番７号,312,,1944,2026-06-14T13:58:36.383Z
株式会社ウインズ,1260001026406,,,,橋本雄矢,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001026406,人事部 ご採用ご担当者様,,岡山県岡山市北区二日市町１７２番,106,,2013,2026-06-14T13:58:36.396Z
株式会社三井Ｅ＆Ｓテクニカルリサーチ,1260001022306,,,,村田和俊,info@mestrc.co.jp,0.4,,,https://mestrc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001022306,人事部 ご採用ご担当者様,1．レーダー調査 2．環境分析、 環境計測、成分分析 3．材料特性評価、非破壊検査、計測 4．損傷原因調査 5．余寿命評,岡山県玉野市玉３丁目１番１号,100,,1979,2026-06-14T13:58:36.403Z
株式会社アールエコ,2260001000161,,,,八田達憲,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001000161,人事部 ご採用ご担当者様,・水処理施設の設計施工管理 ・貯水槽清掃業 ・産業廃棄物収集運搬業　他,岡山県岡山市南区妹尾３２７３番地の３,124,,1970,2026-06-14T13:58:36.431Z
株式会社アビィング,2260001000335,,,,中野佳成,info@abeing.co.jp,0.4,,,http://www.abeing.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001000335,人事部 ご採用ご担当者様,塗料・塗装関連機器の販売,岡山県岡山市北区上中野１丁目１６番２号,80,,1939,2026-06-14T13:58:36.443Z
山陽電研株式会社,2260001002678,,,,吉田伸郎,info@sanyodenken.co.jp,0.4,,,https://www.sanyodenken.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001002678,人事部 ご採用ご担当者様,電気機器組み立て,岡山県岡山市中区乙多見４４９番地,259,,1952,2026-06-14T13:58:36.474Z
ＯＥＣ株式会社,2260001001143,,,,佐藤俊治,info@oec-o.co.jp,0.4,,,http://www.oec-o.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001001143,人事部 ご採用ご担当者様,システムインテグレーションサービス ソフトウェア開発 ＩＤＣサービス アウトソーシング ＡＳＰサービス ＷＥＢ関連サービ,岡山県岡山市北区本町６番３６号,285,,1969,2026-06-14T13:58:36.475Z
株式会社カロスアウラ,2260001005391,,,,吉國光和,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001005391,人事部 ご採用ご担当者様,,岡山県岡山市南区当新田４４４番地７,204,,1969,2026-06-14T13:58:36.493Z
Ｈｉクラテス株式会社,2260001004724,,,,飯塚正也,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001004724,人事部 ご採用ご担当者様,,岡山県岡山市北区野田３丁目１２番３３号,143,,,2026-06-14T13:58:36.494Z
株式会社ホスネット・ジャパン,2260001006084,,,,松尾和憲,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2260001006084,人事部 ご採用ご担当者様,,岡山県岡山市北区今１丁目３番１９号,334,,1996,2026-06-14T13:58:36.497Z
