企業名,法人番号,品質スコア,優先度,属性ランク,intent★,新卒フラグ,系統,取得元媒体,起点系統,起点ソース,ソース数,トリガー,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,業種,都道府県,従業員数,設立年,補助金,ICP適合,採用インテント,データ品質,タイミング,インテント根拠,スコア根拠,取得日,掲載媒体,掲載媒体数,採用予定人数,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠,プレスリリース,採用ページ更新,インテント,辞退シグナル
イケア・ジャパン株式会社,1040001021866,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,ペトラファーレ,,,,,https://www.ikea.com/jp/ja/,ホームファニッシング商品の販売,千葉県船橋市浜町２丁目３番３０号５階,3600,2002,,46,6,25,70,実シグナル,ICP:規模3600=ICP外 / ICP:設立24年 / INT:intent★1,2026-06-14,,0,,○,https://www.ikea.com/jp/ja/this-is-ikea/work-with-us/?itm_campaign=work-with-ikea&itm_element=Identity&itm_content=Brand,,営業,,top-anchor,,,,
日本紙通商株式会社,1010001045983,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,瀬戸昭裕,,,,,https://www.np-t.co.jp/,"○紙・板紙および紙・板紙関連製品の仕入販売 
○フィルムおよびフィルム関連製品の仕入販売 
○化学工業製品の仕入販売",東京都千代田区神田駿河台４丁目６番地,385,1979,,46,6,25,70,実シグナル,ICP:規模385=ICP外 / ICP:設立47年 / INT:intent★1,2026-06-14,,0,,○,https://www.np-t.co.jp/recruit/,,企画,,top-anchor,,,,
株式会社東洋経済新報社,1010001051874,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山田徹也,,,,,https://toyokeizai.net/,デジタルメディア事業、雑誌事業、書籍事業、プロモーション事業、データ事業,東京都中央区日本橋本石町１丁目２番１号,327,1921,,46,6,25,70,実シグナル,ICP:規模327=ICP外 / ICP:設立105年 / INT:intent★1,2026-06-14,,0,,○,https://toyokeizai.net/list/genre/career-and-education,,企画/マーケティング,recruit.toyokeizai.net,top-anchor,,,,
株式会社堀場製作所,1130001011676,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,足立正之,,,,,http://www.horiba.co.jp,3つの事業分野、「エネルギー・環境」、「バイオ・ヘルスケア」、「先端材料・半導体」における社会課題解決に貢献する分析・計,京都府京都市南区吉祥院宮の東町２番地,1776,1953,,46,6,25,70,実シグナル,ICP:規模1776=ICP外 / ICP:設立73年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
株式会社パソナ,1010001067359,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,中尾慎太郎,,,,,http://www.pasona.co.jp/,"・一般および特定労働者派遣業務
・再就職支援事業
・有料職業紹介事業
・インターネットを利用した広告、宣伝に関する企画、",東京都千代田区丸の内１丁目５番１号,3000,1988,,46,6,25,70,実シグナル,ICP:規模3000=ICP外 / ICP:設立38年 / INT:intent★1,2026-06-14,,0,,○,https://www.pasona.co.jp/xtech-jobsearch/,,エンジニア/営業/企画/デザイナー/マーケティング,pasonaelpis.my.site.com/pasonagroup.co.jp,top-anchor,,,,
株式会社ＫＰＭＧ　ＦＡＳ,1010001075808,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,岡田光,,,,,https://home.kpmg/jp/ja/home/about/fas.html,サービス業（アドバイザリー）,東京都千代田区大手町１丁目９番５号,959,2001,,46,6,25,70,実シグナル,ICP:規模959=ICP外 / ICP:設立25年 / INT:intent★1,2026-06-14,,0,,○,https://kpmg.com/jp/ja/careers/fas/year-round-recruitment.html,,事務/コンサル,marr.jp/recruit.kpmg-fas.jp,top-anchor,,,,
東洋炭素株式会社,1120001050238,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,兼兼近藤尚孝,,,,,http://www.toyotanso.co.jp/,"1. 等方性黒鉛その他特殊炭素製品および一般カーボン製品の製造、販売および関連する加工事業
2. 炭素とセラミックス、金",大阪府大阪市西淀川区竹島５丁目７番１２号,961,1947,,46,6,25,70,実シグナル,ICP:規模961=ICP外 / ICP:設立79年 / INT:intent★1,2026-06-14,,0,,○,https://www.toyotanso.co.jp/Recruit/,,営業/総合職,job.mynavi.jp,top-anchor,,,,
スミセイ情報システム株式会社,1120001056193,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,松本誠,,,,,https://www.slcs.co.jp/,"システムコンサルティング
システム開発、運用管理
ＳＩ事業
ＥＲＰ事業
ネットワーク設計、運用
アウトソーシング
セキュ",大阪府大阪市淀川区宮原４丁目１番１４号,1567,1971,,46,6,25,70,実シグナル,ICP:規模1567=ICP外 / ICP:設立55年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
西日本旅客鉄道株式会社,1120001059675,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,長谷川一明,,,,,https://www.westjr.co.jp/company/action/training/diversity/,"１．旅客鉄道事業 
２．関連事業（不動産賃貸業等） 
３．その他（病院等）",大阪府大阪市北区芝田２丁目４番２４号,30234,1987,,46,6,25,70,実シグナル,ICP:規模30234=ICP外 / ICP:設立39年 / INT:intent★1,2026-06-14,,0,,○,https://www.westjr.co.jp/company/recruit/,,,,top-anchor,,,,
株式会社イムラ,1120001074740,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,井村優,,,,,http://www.imura.co.jp/index.html,"1.封筒・袋などの紙製品、文具等の製造・販売
2.不織布・フィルム等を素材とする封筒、袋類等の製造、販売
3.印刷物やダ",大阪府大阪市中央区難波５丁目１番６０号,802,1950,,46,6,25,70,実シグナル,ICP:規模802=ICP外 / ICP:設立76年 / INT:intent★1,2026-06-14,,0,,○,https://www.imura.co.jp/careers/,,営業/総合職/企画/販売,,top-anchor,,,,
イオンディライト株式会社,1120001081381,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,兼グループ濵田和成,,,,,https://www.aeondelight.co.jp/csr/social/d_and_i/,ファシリティマネジメント事業,大阪府大阪市中央区南船場２丁目３番２号,5112,1973,,46,6,25,70,実シグナル,ICP:規模5112=ICP外 / ICP:設立53年 / INT:intent★1,2026-06-14,,0,,○,https://www.aeondelight.co.jp/jobs/,,営業/企画,aeondelight-recruit.net,top-anchor,,,,
株式会社翻訳センター,1120001089458,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,二宮俊一郎,,,,,http://www.honyakuctr.com/,翻訳サービス,大阪府大阪市中央区久太郎町４丁目１番３号,521,1986,,46,6,25,70,実シグナル,ICP:規模521=ICP外 / ICP:設立40年 / INT:intent★1,2026-06-14,,0,,○,https://www.honyakuctr.com/recruit/career/,,事務,,top-anchor,,,,
パーソルエクセルＨＲパートナーズ株式会社,1120001089788,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊藤卓郎,,,,,https://persol-hrpartners.co.jp/,人材サービス,大阪府大阪市北区堂島浜１丁目１番２７号,15991,1989,,46,6,25,70,実シグナル,ICP:規模15991=ICP外 / ICP:設立37年 / INT:intent★1,2026-06-14,,0,,○,https://persol-hrpartners.co.jp/haken/,,エンジニア/営業/事務/販売/マーケティング,denkiya-san.persol-hrpartners.co.jp/job.persol-factorypartners.co.jp/job-journey.persol-hrpartners.co.jp,top-anchor,,,,
ミズノスポーツサービス株式会社,1120001090341,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,薬師寺洋彰,,,,,http://www.mizuno-sports-service.co.jp/company.html,施設運営管理事業（受託施設、指定管理施設、直営施設等各種施設）、各種スポーツ教室事業、健康関連商品・運動プログラム開発販,大阪府大阪市中央区北浜４丁目１番２３号,2073,1989,,46,6,25,70,実シグナル,ICP:規模2073=ICP外 / ICP:設立37年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
株式会社三橋商会,1120001090515,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,高見いずみ,,,,,https://www.mitsuhashi-net.co.jp,"総合ビルメンテナンス業
・清掃管理業務
・設備業務
・グリーン管理業務",大阪府大阪市中央区本町２丁目３番１４号,374,1969,,46,6,25,70,実シグナル,ICP:規模374=ICP外 / ICP:設立57年 / INT:intent★1,2026-06-14,,0,,○,https://www.mitsuhashi-net.co.jp/recruit.html,,営業/事務,,top-anchor,,,,
マスプロ電工株式会社,1180001067276,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,端山佳誠,,,,,http://www.maspro.co.jp/,電気機械器具製造販売,愛知県日進市浅田町上納８０番地,517,1955,,46,6,25,70,実シグナル,ICP:規模517=ICP外 / ICP:設立71年 / INT:intent★1,2026-06-14,,0,,○,https://www.maspro.co.jp/recruit/,,総合職/技術職/企画,,top-anchor,,,,
ミツワ電機株式会社,1010001058408,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,嶋田博,,,,,https://www.mitsuwadenki.co.jp/,電設資材・住宅設備機器の総合商社,東京都中央区東日本橋２丁目２６番３号,909,1939,,46,6,25,70,実シグナル,ICP:規模909=ICP外 / ICP:設立87年 / INT:intent★1,2026-06-14,,0,,○,https://www.mitsuwadenki-recruit.com/,,,mitsuwadenki-recruit.com,external-only,,,,
東芝電材マーケティング株式会社,1020001063613,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,菅野哲也,,,,,http://www.tsdm.co.jp,"照明、建築材料、住宅設備機器および、これらの関連商品の販売ならびに修理
上記に関連する電気、電気通信および空調設備設置工",神奈川県川崎市幸区堀川町７２番地３４,801,1970,,46,6,25,70,実シグナル,ICP:規模801=ICP外 / ICP:設立56年 / INT:intent★1,2026-06-14,,0,,○,https://www.tsdm.co.jp/tsdm/recruit/index_j.htm,,営業/マーケティング,,top-anchor,,,,
ＪＦＥ東日本ジーエス株式会社,1020001072119,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,藤井久敬,,,,,http://www.jfe-hgs.co.jp,"○総合ビルマネジメント
○施設管理
○セキュリティサービス（常駐、巡回、機械警備）
○造園・土木工事
○緑化維持管理
○",神奈川県川崎市川崎区池上新町３丁目４番３号,990,1972,,46,6,25,70,実シグナル,ICP:規模990=ICP外 / ICP:設立54年 / INT:intent★1,2026-06-14,,0,,○,https://www.jfe-hgs.co.jp/recruit/,,販売,,top-anchor,,,,
株式会社イチネン,1120001097972,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,黒田勝彦,,,,,http://www.ichinen.co.jp/,自動車リース・メンテナンス・燃料販売事業,大阪府大阪市淀川区西中島４丁目１０番６号,302,2001,,46,6,25,70,実シグナル,ICP:規模302=ICP外 / ICP:設立25年 / INT:intent★1,2026-06-14,,0,,○,https://www.ichinenhd.co.jp/recruit/,,,ichinenhd.co.jp,external-only,,,,
株式会社筑水キャニコム,1290001055179,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,包行良光,,,,,http://www.canycom.jp,農業用・土木建設用・林業用運搬車・草刈作業車及び産業用機械の開発製造販売,福岡県うきは市吉井町福益９０番地－１,311,1955,,46,6,25,70,実シグナル,ICP:規模311=ICP外 / ICP:設立71年 / INT:intent★1,2026-06-14,,0,,○,https://canycom.jp/recruit/,,営業,,top-anchor,,,,
キャタピラー九州株式会社,1290001079293,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,林賢一,,,,,https://www.cat-kyushu.co.jp/,"キャタピラージャパン(株)九州地区特約販売店
キャタピラー社・キャタピラージャパン及び三菱重工製の建設機械（油圧ショベル",福岡県筑紫野市針摺東３丁目６番１号,442,2017,,44,6,25,70,実シグナル,ICP:規模442=ICP外 / INT:intent★1,2026-06-14,,0,,○,https://www.cat-kyushu.co.jp/lp/recruit/,,営業/販売,,top-anchor,,,,
株式会社エイアンドティー,1021001002692,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,三坂成隆,,,,,https://www.aandt.co.jp,,神奈川県藤沢市遠藤２０２３番地１,607,1978,,46,6,25,70,実シグナル,ICP:規模607=ICP外 / ICP:設立48年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
富士通株式会社,1020001071491,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,時田隆仁,,,,,https://www.fujitsu.com/jp/,通信システム、情報処理システムおよび電子デバイスの製造・販売ならびにこれらに関するサービスの提供,神奈川県川崎市中原区上小田中４丁目１番１号,35924,1935,,46,6,25,70,実シグナル,ICP:規模35924=ICP外 / ICP:設立91年 / INT:intent★1,2026-06-14,,0,,○,https://global.fujitsu/en-global/careers,,,fujitsu.recruiting.jp.fujitsu.com,common-path,,,,
株式会社ベルックス,2430001014425,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,梶野弘毅,,,,,http://www.belx.jp,総合ビルメンテナンス業,北海道札幌市中央区北五条西１２丁目２番地,1779,1962,,46,6,25,70,実シグナル,ICP:規模1779=ICP外 / ICP:設立64年 / INT:intent★1,2026-06-14,,0,,○,https://www.belx.jp/recruit/index.html,,,,top-anchor,,,,
丸彦渡辺建設株式会社,2430001023599,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,鵜飼勇人,,,,,https://www.maruhiko.co.jp/,建設業,北海道札幌市豊平区豊平六条６丁目５番８号,502,1948,,46,6,25,70,実シグナル,ICP:規模502=ICP外 / ICP:設立78年 / INT:intent★1,2026-06-14,,0,,○,https://www.maruhiko.co.jp/recruit,,営業/事務,,top-anchor,,,,
株式会社ＭＣエバテック,1140001048230,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山口洋史,,,,,http://www.mcet.co.jp/,"【炭素材事業】
　活性炭・高機能活性炭の開発・製造、活性炭再生
【精密洗浄事業】
　半導体・ＰＤＦ・太陽電池製造装置等の",兵庫県尼崎市潮江１丁目２番６号,479,1979,,46,6,25,70,実シグナル,ICP:規模479=ICP外 / ICP:設立47年 / INT:intent★1,2026-06-14,,0,,○,https://www.mcet.co.jp/recruit/,,,,top-anchor,,,,
株式会社日興商会,1140001050558,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,藤縄修平,,,,,https://nikko.bunguclub.co.jp/,"印刷・事務用品販売業
オフィス家具・OA機器の販売",兵庫県尼崎市東難波町５丁目１０番３０号,650,1948,,46,6,25,70,実シグナル,ICP:規模650=ICP外 / ICP:設立78年 / INT:intent★1,2026-06-14,,0,,○,https://nikko.bunguclub.co.jp/recruit/,,,,top-anchor,,,,
ヤンマー舶用システム株式会社,1140001083756,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,前垣内敏郎,,,,,https://www.yanmar.com/jp/about/company/yms/,舟艇、船舶用エンジン、船舶用部品・関連機器の卸小売、並びにメンテナンス整備、修理他,兵庫県伊丹市中央３丁目１番１７号,390,2002,,46,6,25,70,実シグナル,ICP:規模390=ICP外 / ICP:設立24年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
ニチコン株式会社,2130001022029,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,森克彦,,,,,http://www.nichicon.co.jp/,"アルミ電解コンデンサ、フィルムコンデンサ、
正特性サーミスタ“ポジアール?”、Ｖ２Ｈシステム、
家庭用蓄電システム、ＥＶ",京都府京都市中京区烏丸通御池上る二条殿町５５１番地,581,1950,,46,6,25,70,実シグナル,ICP:規模581=ICP外 / ICP:設立76年 / INT:intent★1,2026-06-14,,0,,○,http://www.nichicon.co.jp/recruit_graduates/,,営業,,top-anchor,,,,
ワールドビジネスセンター株式会社,2130001012070,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,萩原秀樹,,,,,http://www.wbc.co.jp/,システム運用管理、システム開発、ネットワークシステムの保守、コンピュータ及び周辺機器・消耗品等の販売、パッケージソフトの,京都府京都市南区西九条東御幸田町２５番２,634,1966,,46,6,25,70,実シグナル,ICP:規模634=ICP外 / ICP:設立60年 / INT:intent★1,2026-06-14,,0,,○,https://www.wbc.co.jp/,,,recruit.wbc.co.jp,common-path,,,,
株式会社スマイルクルー,1020001094146,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,岡田純一,,,,,https://smilecrew.co.jp/,"労働者派遣事業、
有料職業紹介事業、
保育園及び学童保育運営・受託事業、
保育士、外国語講師の育成・指導及び養成に関する",神奈川県横浜市神奈川区栄町３番地４パシフィックマークス横浜イースト１１階,438,2012,,46,6,25,70,実シグナル,ICP:規模438=ICP外 / ICP:設立14年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
札幌トヨタ自動車株式会社,2430001020191,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,相茶省三,,,,,http://www.sapporotoyota.co.jp/homepage.php,自動車小売業,北海道札幌市中央区北一条西７丁目３番地８,824,1942,,46,6,25,70,実シグナル,ICP:規模824=ICP外 / ICP:設立84年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
ヤマトスチール株式会社,1140001063741,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山内靖彦,,,,,http://www.yamatokogyo.co.jp/steel/index.html,鉄鋼製品ならびに重工加工品の製造・販売,兵庫県姫路市大津区吉美３８０番地,412,2003,,46,6,25,70,実シグナル,ICP:規模412=ICP外 / ICP:設立23年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
ダイハツ東京販売株式会社,1010001086185,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,武田裕介,,,,,http://dd.daihatsu.co.jp/Dtokyo/,"自動車、その他周辺商品の販売
自動車の修理・点検
顧客様への点検等のご案内など管理",東京都中央区月島２丁目１５番１号,744,1983,,46,6,25,70,実シグナル,ICP:規模744=ICP外 / ICP:設立43年 / INT:intent★1,2026-06-14,,0,,,,,,,top-fetch-failed,,,,
株式会社京滋マツダ,2130001024529,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田嶋誠治,,,,,https://website.keiji-mazda.jp/,"自動車販売
自動車修理
自動車レンタル
損害保険代理業",京都府京都市南区吉祥院向田西町１番地,410,1982,,46,6,25,70,実シグナル,ICP:規模410=ICP外 / ICP:設立44年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
株式会社ぎょうせい,1010001100425,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,西本功二,,,,,https://gyosei.jp/,"●図書総合
　法令関連の書籍を中心に、時宜にかなった書籍を企画・編集・出版
●システム
　法令・例規関連システムをはじめ",東京都中央区銀座７丁目４番１２号,713,1970,,46,6,25,70,実シグナル,ICP:規模713=ICP外 / ICP:設立56年 / INT:intent★1,2026-06-14,,0,,○,https://gyosei.jp/recruit/,,,,top-anchor,,,,
株式会社サンリツ,2040001020768,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊丹淳,,,,,http://www.san-g.com/,"臨床検査
食品衛生検査
衛生点検
理化学検査",千葉県八千代市上高野１３５３番地２５,427,1968,,46,6,25,70,実シグナル,ICP:規模427=ICP外 / ICP:設立58年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
商船三井興産株式会社,1010001126189,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,中島孝,,,,,http://www.mo-kosan.co.jp/,ビル総合管理、マンション・寮などの運営管理、不動産業、保険代理店業務,東京都港区虎ノ門２丁目３番１７号,383,1977,,46,6,25,70,実シグナル,ICP:規模383=ICP外 / ICP:設立49年 / INT:intent★1,2026-06-14,,0,,○,https://www.mo-kosan.co.jp/recruit/,,,,top-anchor,,,,
日本アイ・ビー・エム株式会社,1010001128061,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山口明夫,,,,,http://www.ibm.com/jp/ja/,"情報システムに関わる製品、サービスの提供。
世界170カ国でITシステムの構築・保守運用の一貫サービスを行っています。",東京都港区虎ノ門２丁目６番１号,9400,1937,,46,6,25,70,実シグナル,ICP:規模9400=ICP外 / ICP:設立89年 / INT:intent★1,2026-06-14,,0,,○,https://www.ibm.com/jp-ja/careers?lnk=hpii1us,,エンジニア/営業/デザイナー/マーケティング/コンサル,,top-anchor,,,,
ＪＣＯＭ株式会社,1010001132055,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,岩木陽一,,,,,https://www.jcom.co.jp/corporate/sustainability/well_being/health/#attempt,"・ケーブルテレビ局の統括運営を通じた有線テレビジョン放送事業及び電気通信事業
・ケーブルテレビ局及びデジタル衛星放送向け",東京都千代田区丸の内１丁目８番１号,15672,1995,,46,6,25,70,実シグナル,ICP:規模15672=ICP外 / ICP:設立31年 / INT:intent★1,2026-06-14,,0,,○,https://www.jcom.co.jp/sim_contact/entry_request.php?form_type=web_entry&sc_pid=globalnavi_entry_01,,,recruit.jcom.co.jp,top-anchor,,,,
千葉ビル・メンテナンス株式会社,2040001054287,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,岡澤正博,,,,,https://www.chibabill.jp/,ビル総合管理,千葉県市原市君塚３丁目８番地１９,398,1972,,46,6,25,70,実シグナル,ICP:規模398=ICP外 / ICP:設立54年 / INT:intent★1,2026-06-14,,0,,○,https://job-gear.net/chibabill/,,,job-gear.net,external-only,,,,
株式会社トライトエンジニアリング,1120001131178,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,笹井英孝,,,,,https://tryt-group.co.jp/sustainability/human/,,大阪府大阪市北区曾根崎２丁目１２番７号,2166,2004,,46,6,25,70,実シグナル,ICP:規模2166=ICP外 / ICP:設立22年 / INT:intent★1,2026-06-14,,0,,○,https://tryt-group.co.jp/wp-content/themes/trytgroup/_assets/dl/2022403_tryt_career_plan.pdf,,,recruit.tryt-group.co.jp,top-anchor,,,,
田辺薬局株式会社,1010001090468,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,佐藤淳一,,,,,http://www.tnb.co.jp/,調剤薬局の運営,東京都中央区築地４丁目３番８号,623,1984,,46,6,25,70,実シグナル,ICP:規模623=ICP外 / ICP:設立42年 / INT:intent★1,2026-06-14,,0,,○,https://recruit.tnb.co.jp/,,,recruit.tnb.co.jp,external-only,,,,
フロンティア・マネジメント株式会社,1010001121867,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,（）大西正一郎,,,,,https://www.frontier-mgmt.com/,経営コンサルティング事業・ファイナンシャル・アドバイザリー事業・再生支援事業・制度関連助言業務・教育研修事業・資金支援業,東京都港区六本木３丁目２番１号,433,2007,,46,6,25,70,実シグナル,ICP:規模433=ICP外 / ICP:設立19年 / INT:intent★1,2026-06-14,,0,,○,https://www.frontier-mgmt-recruit.com/,,,frontier-mgmt-recruit.com,external-only,,,,
株式会社図研,2020001008807,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,勝部迅也,,,,,https://www.zuken.co.jp/,製造業における製品設計・開発業務全体の高度化・最適化を支援する、各種ITシステムの開発・製造・販売や、コンサルティングサ,神奈川県横浜市都筑区荏田東２丁目２５番１号,456,1976,,46,6,25,70,実シグナル,ICP:規模456=ICP外 / ICP:設立50年 / INT:intent★1,2026-06-14,,0,,○,https://www.zuken.co.jp/recruit_info/freshers/,,,,top-anchor,,,,
ジェイ・アール・シー特機株式会社,2020001020489,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,加藤孝順,,,,,https://www.jrctokki.co.jp/,,神奈川県横浜市港北区新吉田東３丁目２番１号,364,1985,,46,6,25,70,実シグナル,ICP:規模364=ICP外 / ICP:設立41年 / INT:intent★1,2026-06-14,,0,,○,https://www.jrctokki.co.jp/jobs/career_recruitment/,,,,top-anchor,,,,
ＮＤＳキャリア株式会社,1180001141832,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,奥村敏之,,,,,https://www.nds-career.co.jp/,"人材派遣事業
人材紹介事業",愛知県名古屋市中区大須４丁目１１番３９号,600,2020,,44,6,25,70,実シグナル,ICP:規模600=ICP外 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
大井電気株式会社,2020001019746,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,石田甲,,,,,https://corporate.ooi.co.jp/sustainability/social,情報伝送機器・監視制御装置・通信ネットワーク関連機・移動体通信機器・計測器の設計・開発・製造及び販売,神奈川県横浜市港北区菊名７丁目３番１６号,411,1950,,46,6,25,70,実シグナル,ICP:規模411=ICP外 / ICP:設立76年 / INT:intent★1,2026-06-14,,0,,,,,,,no-recruit-link,,,,
中国塗料株式会社,1240001028478,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊達健士,,,,,https://www.cmp.co.jp,塗料製造販売,広島県大竹市明治新開１番７,519,1923,,46,6,25,70,実シグナル,ICP:規模519=ICP外 / ICP:設立103年 / INT:intent★1,2026-06-14,,0,,○,https://www.cmp.co.jp/recruit_fresh.html,,,,top-anchor,,,,
株式会社エス・ビー・エム,1080001009767,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,村松淳,,,,,http://www.shizuoka-sbm.co.jp/,綜合ビル管理,静岡県静岡市清水区大坪１丁目４番１１号,385,2004,,46,6,25,70,実シグナル,ICP:規模385=ICP外 / ICP:設立22年 / INT:intent★1,2026-06-14,,0,,○,https://shizuoka-sbm-saiyo.jp/-/top/index.html,,,shizuoka-sbm-saiyo.jp,external-only,,,,
福山通運株式会社,1240001032736,31,後回し,C,1,,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小丸成洋,,,,,http://www.fukutsu.co.jp,貨物自動車運送事業、貨物利用運送事業、国際複合一貫輸送事業および代理店業、前号以外の貨物運送事業および利用運送事業、自動,広島県福山市東深津町４丁目２０番１号,10347,1948,,46,6,25,70,実シグナル,ICP:規模10347=ICP外 / ICP:設立78年 / INT:intent★1,2026-06-14,,0,,○,https://corp.fukutsu.co.jp/corp/inquiry/entry/,,,,top-anchor,,,,
