企業名,採用担当者名,代表者名,架電宛名,役職,公式URL,業種,都道府県,電話番号,上場,設立,取得元,根拠URL
小野建株式会社,,小野剛,小野剛 様,,https://www.onoken.co.jp/jp/,商業（卸売業、小売業）, 福岡県,093-561-0036,東証プライム資本,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000000118.000122692.html
株式会社ユーザウェーブ,,金子貴直,金子貴直 様,,https://eco-sumai.com/,情報通信,東京都,080-4749-2710,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000185142.html
株式会社Fanplus,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000626.000002848.html
株式会社Walkers,,渡邊敦司,渡邊敦司 様,,https://walker-s.co.jp/,情報通信,東京都,090-5201-4977,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000037.000089712.html
Tesla Japan合同会社,,,,,,商業（卸売業、小売業）,東京都,0120-966-774,未上場,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000066.000038481.html
株式会社ウィズモー,,小倉和,小倉和 様,,https://withmo.co.jp/,サービス業,東京都,080-1509-2461,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000025.000170307.html
公益財団法人東京都中小企業振興公社,,多羅尾光睦,多羅尾光睦 様,,https://www.tokyo-kosha.or.jp/,財団法人・社団法人・宗教法人,東京都,03-3251-7897,未上場,1966,PR TIMES,https://prtimes.jp/main/html/rd/p/000000073.000175765.html
monoAI technology株式会社,,本城,本城 様,,https://monoai.co.jp/,情報通信,東京都,,東証グロース資本,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000180.000013447.html
公益財団法人北海道地域活動振興協会,,高田忠尚,高田忠尚 様,,https://www.fureaizaidan.or.jp/,財団法人・社団法人・宗教法人,北海道,011-261-0803,未上場,2001,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000183519.html
イワドベース合同会社,,上田博隆,上田博隆 様,,https://iwadobase.jp/,飲食店・宿泊業,：鳥取県,0857-33-0303,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000169243.html
株式会社Visionary Engine,,小栗伸,小栗伸 様,,https://visionary-engine.com/,サービス業,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000040.000110065.html
ユカイ工学株式会社,,青木俊介,青木俊介 様,,http://www.ux-xu.com/,製造業,東京都,,未上場,2007,PR TIMES,https://prtimes.jp/main/html/rd/p/000000270.000015618.html
BRUNO株式会社,,塩田徹,塩田徹 様,,https://bruno-inc.com/,商業（卸売業、小売業）,東京都,03-6631-0000,東証グロース資本,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000000170.000090148.html
東京ウォータータクシー株式会社,,田端肇,田端肇 様,,https://water-taxi.tokyo/,サービス業,東京都,03-3453-2762,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000051736.html
リズム株式会社,,湯本武夫,湯本武夫 様,,https://www.rhythm.co.jp/,製造業, 埼玉県,048-643-7211,東証プライム資本,1950,PR TIMES,https://prtimes.jp/main/html/rd/p/000000140.000054957.html
株式会社エス・アイ・シー,,伊藤博行,伊藤博行 様,,,製造業, 愛知県,0564-21-4081,未上場,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000036249.html
株式会社ドミノ・ピザ　ジャパン,,ディ,ディ 様,,http://www.dominos.jp/,サービス業,東京都,,,1985,PR TIMES,https://prtimes.jp/main/html/rd/p/000000504.000029053.html
カラフルキャスティング株式会社,,松本豊季,松本豊季 様,,https://about.colorfulcast.com,情報通信,東京都,,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000035.000074922.html
特定非営利活動法人　地域ひといき,,小林聖司,小林聖司 様,,,医療・福祉,大阪府,090-9545-5555,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000173666.html
ギャップジャパン株式会社,,クリストファ,クリストファ 様,,http://gap.co.jp/,商業（卸売業、小売業）,東京都,03-5369-5300,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000772.000011503.html
カッパ・クリエイト株式会社,,山角豪,山角豪 様,,http://www.kappa-create.co.jp/company/profile.html,飲食店・宿泊業,神奈川県,045-224-7095,東証プライム資本,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000001015.000018731.html
株式会社クリア,,勝沼潤,勝沼潤 様,,https://stlassh.com/,サービス業,東京都,03-6628-5551,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000281.000127586.html
株式会社It,,梅基かよ,梅基かよ 様,,https://www.itsyou.jp/,商業（卸売業、小売業）,北海道,050-3801-5075,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000099693.html
ミーレ・ジャパン株式会社,,,,,,製造業,東京都,,未上場,1992,PR TIMES,https://prtimes.jp/main/html/rd/p/000000034.000104440.html
ドリームフーズ株式会社,,山本英柱,山本英柱 様,,https://www.dreamfoods.co.jp/,飲食店・宿泊業,：滋賀県,0749-26-9131,未上場,1996,PR TIMES,https://prtimes.jp/main/html/rd/p/000000201.000019783.html
株式会社エクスペリフル,,永易黎於,永易黎於 様,,https://experiful.jp,サービス業,？愛知県,03-5577-2264,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000052.000113176.html
株式会社治一郎,,,,,https://jiichiro.com/,製造業,：静岡県,053-461-8150,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000081.000077211.html
一般財団法人　公園財団,,舟引敏明,舟引敏明 様,,https://www.prfj.or.jp/,財団法人・社団法人・宗教法人,（福岡県,03-6674-1188,,1974,PR TIMES,https://prtimes.jp/main/html/rd/p/000000762.000032901.html
株式会社イミュー,,黒田康平,黒田康平 様,,https://www.immue.co.jp/,情報通信,北海道,03-6823-4702,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000073.000081865.html
SRSホールディングス株式会社,,重里政彦,重里政彦 様,,https://srsholdings.com,飲食店・宿泊業,大阪府,06-7222-3101,東証プライム資本,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000000952.000122416.html
株式会社主婦と生活社,,柏原達也,柏原達也 様,,https://www.shufu.co.jp/company/,サービス業,東京都,,未上場,1935,PR TIMES,https://prtimes.jp/main/html/rd/p/000001239.000072639.html
フィスカース ジャパン株式会社,,パイヴィ,パイヴィ 様,,https://www.fiskarsgroup.jp/company/,商業（卸売業、小売業）,東京都,03-6380-9214,,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000032.000137152.html
合同会社bigap,,大坂智央,大坂智央 様,,,サービス業,(岩手県,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000006.000151862.html
株式会社ＢＳ日本,,於保浩之,於保浩之 様,,,情報通信,東京都,,未上場,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000933.000125910.html
アークランドサービスホールディングス株式会社,,,,,https://www.arclandservice.co.jp/company/group/#group4,飲食店・宿泊業,東京都,03-5217-1531,未上場,1993,PR TIMES,https://prtimes.jp/main/html/rd/p/000001277.000032350.html
サンクトガーレン有限会社,,岩本伸久,岩本伸久 様,,http://www.sanktgallenbrewery.com/,製造業,神奈川県,046-224-2317,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000271.000025081.html
西オーストラリア州政府観光局,,吉澤英樹,吉澤英樹 様,,https://www.westernaustralia.com/jp/,サービス業,東京都,03-6268-8531,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000053.000046089.html
Asset Brain Consulting L.L.C-FZ,,,,,,サービス業,,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000003.000174996.html
株式会社NSグループ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000169.000119643.html
株式会社スタイリングライフ・ホールディングス　プラザスタイル カンパニー,,鈴木努,鈴木努 様,,http://www.plazastyle.com/,商業（卸売業、小売業）,東京都,03-6872-5070,未上場,1966,PR TIMES,https://prtimes.jp/main/html/rd/p/000001066.000003436.html
株式会社 東京ドームホテル,,棟方史幸,棟方史幸 様,,https://www.tokyodome-hotels.co.jp/,飲食店・宿泊業,東京都,03-5805-2111,未上場,1999,PR TIMES,https://prtimes.jp/main/html/rd/p/000000319.000059999.html
KOZOホールディングス株式会社,,森下將典,森下將典 様,,https://kozohd.co.jp/,商業（卸売業、小売業）,東京都,03-4586-1122,東証スタンダード,1972,PR TIMES,https://prtimes.jp/main/html/rd/p/000000461.000063326.html
日本航空株式会社,,鳥取三津子,鳥取三津子 様,,https://www.jal.com,倉庫・運輸関連業,東京都,03-5460-3121,東証1部資本金-,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000001523.000030684.html
リソルの森株式会社,,,,,,サービス業,：千葉県,0475-35-5911,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000135.000055952.html
赤城乳業株式会社,,井上創太,井上創太 様,,http://www.akagi.com/,商業（卸売業、小売業）,：埼玉県,048-571-1866,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000519.000000515.html
西武造園株式会社,,小川巧,小川巧 様,,https://www.seibu-la.co.jp/,建設業,！滋賀県,,未上場,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000000488.000034888.html
株式会社TKP,,河野,河野 様,,https://www.tkp.jp/,不動産業,東京都,03-6843-0011,東証グロース資本,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000544.000024137.html
株式会社小田急箱根,,水上秀博,水上秀博 様,,,倉庫・運輸関連業,神奈川県,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000286.000098471.html
株式会社ピエトロ,,高橋泰行,高橋泰行 様,,https://www.pietro.co.jp/,製造業,地福岡県,092-716-0300,東証スタンダード,1985,PR TIMES,https://prtimes.jp/main/html/rd/p/000000224.000044322.html
昭和西川株式会社,,西川元一朗,西川元一朗 様,,http://www.showanishikawa.co.jp/,製造業,東京都,03-6858-5670,未上場,1942,PR TIMES,https://prtimes.jp/main/html/rd/p/000000390.000031377.html
株式会社ローソンストア１００,,小栗知義,小栗知義 様,,http://store100.lawson.co.jp/company/,商業（卸売業、小売業）,神奈川県,,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000575.000025635.html
公益財団法人　日本フィルハーモニー交響楽団,,石塚邦雄,石塚邦雄 様,,https://japanphil.or.jp/,財団法人・社団法人・宗教法人,東京都,03-5378-6311,未上場,1956,PR TIMES,https://prtimes.jp/main/html/rd/p/000000076.000043468.html
白鶴酒造株式会社,,嘉納健二,嘉納健二 様,,http://www.hakutsuru.co.jp/,製造業, 兵庫県,078-822-8901,未上場,1927,PR TIMES,https://prtimes.jp/main/html/rd/p/000000462.000013868.html
株式会社三井不動産ホテルマネジメント,,杉山亮,杉山亮 様,,https://www.mitsuifudosan-hotelmanagement.com/,サービス業,東京都,,未上場,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000000289.000084468.html
DeOne Innovation Technology (Hong Kong) Limited,,,,,,製造業,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000060.000162534.html
阪急阪神ホールディングス株式会社,,嶋田,嶋田 様,,https://www.hankyu-hanshin.co.jp/,倉庫・運輸関連業,大阪府,,東証1部資本金9,1907,PR TIMES,https://prtimes.jp/main/html/rd/p/000002538.000005179.html
株式会社WDI JAPAN,,清水謙,清水謙 様,,http://www.wdi.co.jp/,飲食店・宿泊業,東京都,03-3404-3704,,1954,PR TIMES,https://prtimes.jp/main/html/rd/p/000001294.000018232.html
地方独立行政法人市立大津市民病院,,河内明宏,河内明宏 様,,https://och.or.jp/,医療・福祉,：滋賀県,077-522-4607,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000165225.html
株式会社Jackery Japan,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000347.000039188.html
乾のぶどうガーデン,,,,,,,大阪府,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000184828.html
株式会社オールアバウトライフマーケティング,,土門裕之,土門裕之 様,,https://www.lifemarketing.co.jp/,商業（卸売業、小売業）,東京都,03-6362-0810,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000102.000044279.html
株式会社アトレ,,高橋弘行,高橋弘行 様,,https://www.atre.co.jp/,不動産業,東京都,03-5475-8300,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000347.000070988.html
東京スカイツリータウン,,,,,http://www.tokyo-skytreetown.jp/,商業（卸売業、小売業）,東京都,03-5809-7841,未上場,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000432.000041446.html
象印マホービン株式会社,,市川典男,市川典男 様,,https://www.zojirushi.co.jp/,製造業,通り・県,,東証プライム資本,1918,PR TIMES,https://prtimes.jp/main/html/rd/p/000000274.000006490.html
山陽SC開発株式会社,,福田知明,福田知明 様,,https://sun-ste.com/,不動産業, 岡山県,,未上場,1972,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000147296.html
生活クラブ事業連合生活協同組合連合会,,村上彰一,村上彰一 様,,https://seikatsuclub.coop/,商業（卸売業、小売業）,（埼玉県,03-5285-1771,未上場,1990,PR TIMES,https://prtimes.jp/main/html/rd/p/000000752.000002456.html
アパホテル株式会社,,元谷芙美子,元谷芙美子 様,,http://www.apahotel.com/,飲食店・宿泊業,東京都,03-5570-2111,未上場,1980,PR TIMES,https://prtimes.jp/main/html/rd/p/000000860.000018265.html
株式会社イーオン,,重野卓,重野卓 様,,https://www.aeonet.co.jp/,教育・学習支援業,東京都,,未上場,1973,PR TIMES,https://prtimes.jp/main/html/rd/p/000000272.000062811.html
株式会社Brushup,,水谷好孝,水谷好孝 様,,https://www.brushup.net/,情報通信,大阪府,06-4980-0444,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000036.000028456.html
株式会社チャンピオンカレー,,中村洋介,中村洋介 様,,http://chancurry.com/,飲食店・宿泊業,:石川県,076-248-9558,未上場,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000107.000015963.html
株式会社AIPEX,,大城,大城 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000018.000168149.html
株式会社アイディオット,,井上,井上 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000053.000035824.html
株式会社木曽路,,渡辺崇嗣,渡辺崇嗣 様,,https://shabu-shabu.kisoji.co.jp/,飲食店・宿泊業,：石川県,052-872-1811,東証プライム資本,1952,PR TIMES,https://prtimes.jp/main/html/rd/p/000000049.000083122.html
株式会社baton,,衣川洋佑,衣川洋佑 様,,https://baton8.com/,教育・学習支援業,東京都,,未上場,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000360.000012901.html
株式会社FOOD & LIFE COMPANIES,,山本雅啓,山本雅啓 様,,https://www.food-and-life.co.jp/,飲食店・宿泊業,大阪府,,東証プライム資本,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000801.000049164.html
ミヨシ油脂株式会社,,三木逸郎,三木逸郎 様,,https://www.miyoshi-yushi.co.jp/,製造業,東京都,03-3603-1111,東証スタンダード,1937,PR TIMES,https://prtimes.jp/main/html/rd/p/000000141.000086923.html
株式会社成基,,佐々木雄紀,佐々木雄紀 様,,https://www.seiki.co.jp/overview.html,教育・学習支援業,京都府,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000043.000115646.html
カゴメ株式会社,,奥谷晴信,奥谷晴信 様,,https://www.kagome.co.jp/company/,製造業,：愛知県,052-951-3571,東証プライム資本,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000000404.000099065.html
株式会社ロッテ,,執行役員岩崎,執行役員岩崎 様,,http://www.lotte.co.jp/,製造業,東京都,,未上場,1948,PR TIMES,https://prtimes.jp/main/html/rd/p/000002608.000002360.html
佐川急便株式会社,,笹森公彰,笹森公彰 様,,https://www.sagawa-exp.co.jp/,倉庫・運輸関連業,北海道,03-3699-3614,未上場,1957,PR TIMES,https://prtimes.jp/main/html/rd/p/000000055.000132425.html
株式会社 うちだ屋,,大井,大井 様,,https://www.uchidaya.co.jp/,飲食店・宿泊業,ー大分県,,未上場,1986,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000178931.html
学生団体cytron,,沖井侑真,沖井侑真 様,,,サービス業,,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000164098.html
株式会社Rainmakers,,宇佐美眞,宇佐美眞 様,,,製造業,東京都,03-6222-9674,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000308.000084518.html
DNP Marketplace PR事務局,,北島義斉,北島義斉 様,,https://www.dnp.co.jp/biz/products/detail/20172532_4986.html,製造業,東京都,,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000185082.html
帝国不動産株式会社,,木本啓紀,木本啓紀 様,,https://teikokufudosan.jp/,不動産業,東京都,03-3544-2650,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000172.000057958.html
株式会社トラックレコード,,芹川太郎,芹川太郎 様,,https://www.trackrecords.co.jp/,サービス業,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000040.000038469.html
株式会社ワキタ,,脇田貞二,脇田貞二 様,,https://www.wakita.co.jp/,商業（卸売業、小売業）,に福岡県,,東証プライム資本,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000131229.html
NHN テコラス株式会社,,白倉,白倉 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000114.000045365.html
株式会社名優,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000152333.html
株式会社フェローシップ,,小山,小山 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000091000.html
特定非営利活動法人 ITS Japan,,山本昭雄,山本昭雄 様,,https://www.its-jp.org/,財団法人・社団法人・宗教法人,東京都,03-5777-1011,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000182123.html
アラスカシーフードマーケティング協会 日本事務所,,家形晶子,家形晶子 様,,https://japanese.alaskaseafood.org/,水産・農林業,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000117.000046522.html
東京テアトル株式会社,,太田和宏,太田和宏 様,,,不動産業,東京都,,東証スタンダード,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000019.000117798.html
住友電設株式会社,,名谷信,名谷信 様,,https://www.sem.co.jp/,建設業,大阪府,06-6537-3400,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000179455.html
株式会社tetote,,三浦雄司,三浦雄司 様,,https://tetote.gift,サービス業,神奈川県,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000010.000086334.html
リーバイ・ストラウス ジャパン 株式会社,,ディビッド,ディビッド 様,,https://www.levi.jp/,商業（卸売業、小売業）,東京都,,,1982,PR TIMES,https://prtimes.jp/main/html/rd/p/000000157.000046510.html
昭和産業株式会社,,塚越英行,塚越英行 様,,https://www.showa-sangyo.co.jp/corporate/,製造業,東京都,,東証プライム資本,1936,PR TIMES,https://prtimes.jp/main/html/rd/p/000000003.000185439.html
株式会社エクサウィザーズ,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000462.000030192.html
日新化工株式会社,,直井広明,直井広明 様,,https://nisshinkako.co.jp/,製造業,東京都,03-3297-1341,未上場,1948,PR TIMES,https://prtimes.jp/main/html/rd/p/000000042.000077044.html
合同会社LOCUS BRiDGE,,黒瀬啓介,黒瀬啓介 様,,,,：埼玉県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000033.000159606.html
コクヨ株式会社,,黒田英邦,黒田英邦 様,,https://www.kokuyo.com,製造業,大阪府,06-6976-1221,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001342.000048998.html
株式会社idolシステム,,大空七菜,大空七菜 様,,https://idol-system.jp/,情報通信,東京都,,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000184840.html
akippa株式会社,,,,,https://akippa.co.jp/,情報通信,大阪府,03-6450-6090,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000594.000016205.html
イノチオホールディングス株式会社,,石黒,石黒 様,,https://www.inochio.co.jp/,水産・農林業,：愛知県,0532-48-5711,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000065359.html
株式会社Thinker,,,,,,製造業,大阪府,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000072.000106143.html
株式会社成光,,廣澤和成,廣澤和成 様,,https://narimitsu.co.jp/,情報通信,東京都,,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000186089.html
StoryHub株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000046.000133529.html
テクロ株式会社,,天野央登,天野央登 様,,https://techro.co.jp/,情報通信,東京都,,,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000041.000060080.html
合同会社デルタクリエイト,,社員佐藤,社員佐藤 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000003.000118049.html
トライベック株式会社,,後藤,後藤 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000039.000013916.html
日欧商事株式会社,,ティエリ,ティエリ 様,,https://www.jetlc.co.jp/,商業（卸売業、小売業）,東京都,03-5730-0316,未上場,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000000052.000000160.html
株式会社カワニシカバンプロダクト,,,,,,,：香川県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000046.000089378.html
オッズ・パーク株式会社,,髙松俊和,髙松俊和 様,,https://www.oddspark.com,情報通信,東京都,,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000037.000172252.html
ohpner株式会社,,土井健,土井健 様,,https://ohpner.com/,情報通信,東京都,,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000066.000165081.html
株式会社ワン・パブリッシング,,松井謙介,松井謙介 様,,https://one-publishing.co.jp/,サービス業,東京都,03-6854-3065,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000001265.000060318.html
株式会社LIVESTAR,,西村翔太郎,西村翔太郎 様,,https://livestar.tokyo/,サービス業,東京都,03-5456-7693,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000016.000047390.html
株式会社ファミリーマート,,小谷建夫,小谷建夫 様,,https://www.family.co.jp/,商業（卸売業、小売業）,東京都,0120-079-188,未上場,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000002377.000046210.html
株式会社AMF,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000034.000017469.html
株式会社Leading Communication,,井上,井上 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000064.000046021.html
ネクスターホールディングス株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000283.000029866.html
株式会社ガイアックス,,吉次弘志,吉次弘志 様,,https://www.gaiax.co.jp/,情報通信,東京都,03-5759-0300,名証ネクスト,1999,PR TIMES,https://prtimes.jp/main/html/rd/p/000000826.000003955.html
藤田観光株式会社,,山下信典,山下信典 様,,https://www.fujita-kanko.co.jp/,サービス業,神奈川県,03-5981-7722,東証プライム資本,1955,PR TIMES,https://prtimes.jp/main/html/rd/p/000001128.000001368.html
株式会社YLAB STUDIOS,,ユン,ユン 様,,https://ylabstudios.com,サービス業,東京都,03-6455-5885,,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000118215.html
株式会社下野新聞社,,,,,,,：栃木県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000039.000077069.html
StockSun株式会社,,岩野,岩野 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000084.000041786.html
インフォレンズ株式会社,,,,,https://www.infolens.com/,商業（卸売業、小売業）,東京都,03-6280-5433,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000281.000092133.html
株式会社ブレイン・ラボ,,中江典博,中江典博 様,,https://www.brainlab.co.jp,情報通信,東京都,03-6778-4326,未上場,2002,PR TIMES,https://prtimes.jp/main/html/rd/p/000000084.000143004.html
株式会社var,,古里栄識,古里栄識 様,,https://var.co.jp,情報通信,東京都,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000049.000088215.html
株式会社アットネット,,福島弘子,福島弘子 様,,https://atnt.co.jp/,サービス業,東京都,03-5050-5234,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000182161.html
株式会社root c,,矢野哲平,矢野哲平 様,,,,：福岡県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000080811.html
株式会社IIP,,牧山,牧山 様,,http://www.iip-inc.com/,情報通信,大阪府,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000052.000088641.html
Umee Technologies株式会社,,新納,新納 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000199.000096454.html
Policy Innovation Japan株式会社,,越水遥,越水遥 様,,https://policyinnovation.co.jp,情報通信,東京都,03-6257-2525,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000015.000168383.html
株式会社UNBALANCE,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000024.000051976.html
クオン株式会社,,武田隆,武田隆 様,,https://www.q-o-n.com/,情報通信,東京都,03-3457-9023,未上場,1996,PR TIMES,https://prtimes.jp/main/html/rd/p/000000168.000023406.html
MoaiStudio,,佐藤美智明,佐藤美智明 様,,https://www.moaistudio.net/,サービス業,東京都,,,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000162815.html
株式会社ガイア,,江川省吾,江川省吾 様,,,商業（卸売業、小売業）,：岡山県,086-806-3404,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000185747.html
株式会社マーベラス,,照井慎一,照井慎一 様,,https://www.marv.jp/,サービス業,東京都,03-5769-7447,東証プライム資本,1997,PR TIMES,https://prtimes.jp/main/html/rd/p/000002283.000016719.html
GUANGZHOU SHANGKE INFORMATION TECHNOLOGY (HK) LIMITED,,名呉沢恩,名呉沢恩 様,,https://en.teclast.com/ja/,製造業,,,未上場,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000570.000080488.html
古野電気株式会社,,古野幸男,古野幸男 様,,https://www.furuno.co.jp/,製造業,：兵庫県,0798-65-2111,東証プライム資本,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000000130.000089783.html
IoT-EX株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000033.000049175.html
Nishika株式会社,,,,,https://info.nishika.com/,情報通信,東京都,,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000104.000052152.html
株式会社ネコノメ,,工藤ショ,工藤ショ 様,,https://neconome.co.jp/,情報通信,東京都,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000081.000145138.html
株式会社FOX,,五十畑理央,五十畑理央 様,,https://caseplay.shop/,商業（卸売業、小売業）,東京都,03-6811-1129,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000811.000058495.html
株式会社アイキューブドシステムズ,,執行役員,執行役員 様,,https://www.icubedsystems.com/,情報通信, 福岡県,092-552-4358,東証グロース資本,2001,PR TIMES,https://prtimes.jp/main/html/rd/p/000000055.000098073.html
"Superace Software Technology Co., Ltd.",,,,,https://updf.com/jp/,情報通信,,,,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000123840.html
株式会社 Gerson Lehrman Group,,橋本勇人,橋本勇人 様,,https://glginsights.com/ja/,情報通信,東京都,03-4589-1500,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000022.000093948.html
