企業名,電話,メール,業種,従業員数レンジ,採用人数,リード状況,経路温度,セグメント,提案プラン,類似スコア,成約見込み,経路lift,業種lift,規模lift,採用lift,確信軸数,なぜ類似
株式会社日立建機ティエラ,0748-62-6431,k.nagao.ky@hitachi-kenki.com,機械,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,5,5.3%,0.42x,0.37x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[機械]0.37x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込5.3%
株式会社毎日新聞社,03-3212-0321,saiyocenter@mainichi.co.jp,新聞,2千～5千人未満,21～25名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,4,4.4%,0.42x,0.35x,1.15x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[新聞]0.35x｜規模[2000-5000名]1.15x｜新卒採用[21-30名]1.53x｜競合ATS確認｜成約見込4.4%
EAファーマ株式会社,03-6280-9500,saiyou@eapharma-r.com,薬品,1千～2千人未満,16～20名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,4,3.8%,0.42x,0.27x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[薬品]0.27x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込3.8%
クラシスホーム株式会社,0567-55-7712,sugita@cwc-g.com,住宅,100～300人未満,26～30名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.3%,0.42x,0.35x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[住宅]0.35x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込4.3%
エム・シー・ヘルスケア株式会社,03-5715-2800,mchg-saiyo2025@e-recruit.jp,商社（精密・医療機器）,500～1千人未満,16～20名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,4,3.9%,0.42x,0.27x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（精密・医療機器）]0.27x｜規模[500-1000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込3.9%
TOPPANエッジ株式会社,03-6253-5710,,印刷・印刷関連,2千～5千人未満,21～25名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,4,3.6%,0.42x,0.28x,1.15x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[印刷・印刷関連]0.28x｜規模[2000-5000名]1.15x｜新卒採用[21-30名]1.53x｜競合ATS確認｜成約見込3.6%
オーケー器材株式会社,06-6354-3013,saiyo-ok@daikin.co.jp,金属製品,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.0%,0.42x,0.32x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[金属製品]0.32x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込4.0%
ソニーグループ,03-6748-2111,,家電・ＡＶ機器,2千～5千人未満,301名～,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,4,3.9%,0.42x,0.43x,1.15x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[家電・ＡＶ機器]0.43x｜規模[2000-5000名]1.15x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込3.9%
株式会社ＳＵＭＣＯ,03-5444-3943,newgrads23@sumcosi.com,非鉄金属,2千～5千人未満,36～40名,03：コネクト情報獲得,コールド媒体一括,要注意(大),競合ATS確認,4,3.9%,0.42x,0.33x,1.15x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[非鉄金属]0.33x｜規模[2000-5000名]1.15x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込3.9%
株式会社ウォーターエージェンシー,03-3267-4001,shinsotsu@water-agency.com,環境・リサイクル,2千～5千人未満,11～15名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,4,4.3%,0.42x,0.35x,1.15x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[環境・リサイクル]0.35x｜規模[2000-5000名]1.15x｜新卒採用[11-15名]1.52x｜競合ATS確認｜成約見込4.3%
株式会社キユーハウ,092-631-3781,kyu-hou@kyu-hou.co.jp,商社（インテリア・住宅関連）,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.7%,0.42x,0.30x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[商社（インテリア・住宅関連）]0.30x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.7%
株式会社タイムリー,03-3263-0040,,広告,100～300人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.5%,0.42x,0.29x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[広告]0.29x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.5%
株式会社マクニカ,045-470-9861,,商社（電子・電気機器・OA機器）,1千～2千人未満,51～100名,03：コネクト情報獲得,コールド媒体一括,有効(上限),スタンダード提案,4,3.7%,0.42x,0.30x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[商社（電子・電気機器・OA機器）]0.30x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込3.7%
株式会社レイ,086-898-2370,hr@anacpokayama.com,広告,100～300人未満,26～30名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.6%,0.42x,0.29x,1.12x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[広告]0.29x｜規模[100-300名]1.12x｜新卒採用[21-30名]1.53x｜ミニマム/ミドル｜成約見込3.6%
株式会社一九堂印刷所,03-3542-0191,saiyou@ichikudo.co.jp,印刷・印刷関連,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.5%,0.42x,0.28x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[印刷・印刷関連]0.28x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.5%
株式会社朝日広告社,03-3547-5400,,広告,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.4%,0.42x,0.29x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[広告]0.29x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込4.4%
株式会社東京ビデオセンター,03-3582-3965,,放送,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.6%,0.42x,0.30x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[放送]0.30x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.6%
株式会社帆風,03-5229-8200,jinji@vanfu.co.jp,印刷・印刷関連,500～1千人未満,26～30名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,4,4.0%,0.42x,0.28x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[印刷・印刷関連]0.28x｜規模[500-1000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込4.0%
埼玉県信用保証協会,048-647-4711,,その他金融,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.0%,0.42x,0.33x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[その他金融]0.33x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込4.0%
国立研究開発法人産業技術総合研究所,029-861-2000,,公益・特殊・独立行政法人,2千～5千人未満,16～20名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,4,3.9%,0.42x,0.31x,1.15x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[公益・特殊・独立行政法人]0.31x｜規模[2000-5000名]1.15x｜新卒採用[16-20名]1.52x｜競合ATS確認｜成約見込3.9%
佐藤商事株式会社,03-5218-5311,,商社（鉄鋼・金属）,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,4,3.6%,0.42x,0.26x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（鉄鋼・金属）]0.26x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込3.6%
長田広告株式会社,052-533-3533,recruit@ad-nagata.com,広告,500～1千人未満,36～40名,04：ジャッジ,コールド媒体一括,有効(中堅上),スタンダード提案,4,3.8%,0.42x,0.29x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[広告]0.29x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込3.8%
地方共同法人日本下水道事業団,03-6361-7813,jsrecruit@jswa.go.jp,公益・特殊・独立行政法人,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,4,4.4%,0.42x,0.31x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[公益・特殊・独立行政法人]0.31x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込4.4%
朝日印刷株式会社,076-421-1177,saiyou@asahi-pp.co.jp,印刷・印刷関連,1千～2千人未満,16～20名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,4,4.0%,0.42x,0.28x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[印刷・印刷関連]0.28x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込4.0%
伯東株式会社,03-3225-8920,,商社全般,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,4,3.8%,0.42x,0.27x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社全般]0.27x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込3.8%
日本電設資材株式会社,06-6916-8581,s_kawano@n-ds.co.jp,商社（電子・電気機器・OA機器）,100～300人未満,6～10名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.7%,0.42x,0.30x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[商社（電子・電気機器・OA機器）]0.30x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.7%
福西電機株式会社,090-6666-7392,,商社（電子・電気機器・OA機器）,500～1千人未満,36～40名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,4,3.9%,0.42x,0.30x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[商社（電子・電気機器・OA機器）]0.30x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込3.9%
明祥株式会社,076-266-4141,y-inoue@mshhs.com,商社（薬品・化粧品）,300～500人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.2%,0.42x,0.27x,1.41x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[商社（薬品・化粧品）]0.27x｜規模[300-500名]1.41x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込4.2%
ＮＴＮ株式会社,06-6449-3548,k_saiyo@ntn.co.jp,精密機器,5千～1万人未満,36～40名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,4,4.1%,0.42x,0.46x,0.89x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[精密機器]0.46x｜規模[5000-1万名]0.89x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込4.1%
株式会社JR東日本商事,03-5371-2076,hr01@ejrt.co.jp,鉄道,300～500人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,3.9%,0.42x,0.26x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[鉄道]0.26x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.9%
株式会社フジクラ,03-5606-1033,saiyou@fujikura-r.com,非鉄金属,2千～5千人未満,41～45名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,4,3.9%,0.42x,0.33x,1.15x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[非鉄金属]0.33x｜規模[2000-5000名]1.15x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込3.9%
ＣＢＣ株式会社ジェネラルアフェアーズＤｅｐｔ．,03-3536-4500,recruit@cbc.co.jp,商社全般,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.1%,0.42x,0.27x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社全般]0.27x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込4.1%
株式会社三共消毒,03-5224-6630,,環境・リサイクル,100～300人未満,11～15名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.2%,0.42x,0.35x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[環境・リサイクル]0.35x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込4.2%
株式会社証券保管振替機構,03-3661-0161→③→①,recruit@jasdec.com,その他金融,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,4,4.0%,0.42x,0.33x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[その他金融]0.33x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込4.0%
アクセンチュア株式会社,03-3588-3000,campus.recruiting@accenture.com,経営コンサルタント,1万人～,301名～,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,4,3.7%,0.42x,1.00x,0.47x,1.10x,3,経路[コールド媒体一括]0.42x｜業種[経営コンサルタント]1.00x｜規模[1万名超]0.47x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込3.7%
株式会社エイト日本技術開発,03-5341-5152,recruit@ej-hds.co.jp,建設コンサルタント,500～1千人未満,41～45名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,3,3.4%,0.42x,0.26x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[建設コンサルタント]0.26x｜規模[500-1000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込3.4%
イーピーエス株式会社,03-5684-7797,,薬品,1千～2千人未満,51～100名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,3,3.3%,0.42x,0.27x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[薬品]0.27x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込3.3%
エーザイ株式会社,03-3817-3700,,薬品,2千～5千人未満,46～50名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,3,3.1%,0.42x,0.27x,1.15x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[薬品]0.27x｜規模[2000-5000名]1.15x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込3.1%
株式会社グラフィック,075-601-1253,recruit@graphic.co.jp,建設コンサルタント,300～500人未満,51～100名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.5%,0.42x,0.26x,1.41x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[建設コンサルタント]0.26x｜規模[300-500名]1.41x｜新卒採用[51-100名]1.32x｜ミニマム/ミドル｜成約見込3.5%
パーソルワークスデザイン株式会社,03-6907-4481,pwd-recruit@persol.co.jp,各種ビジネスサービス・BPO,1千～2千人未満,36～40名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,3,3.0%,0.42x,0.23x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[各種ビジネスサービス・BPO]0.23x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込3.0%
シャープマーケティングジャパン株式会社,050-5213-6423,smj-recruit@sharp.co.jp,商社（電子・電気機器・OA機器）,2千～5千人未満,51～100名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,3,3.3%,0.42x,0.30x,1.15x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[商社（電子・電気機器・OA機器）]0.30x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込3.3%
チューリッヒ・インシュアランス・カンパニー・リミテッド...,03-6832-2111,recruit_sh@zurich.co.jp,損害保険,500～1千人未満,11～15名,01：新規,コールド媒体一括,有効(中堅上),スタンダード提案,3,3.4%,0.42x,0.24x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[損害保険]0.24x｜規模[500-1000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込3.4%
旭化成株式会社,03-6699-3140,jobs@om.asahi-kasei.co.jp,化学,5千～1万人未満,201～300名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,3,3.2%,0.42x,0.46x,0.89x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[化学]0.46x｜規模[5000-1万名]0.89x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込3.2%
リテラ・クレア証券株式会社,03-6385-0643,,証券,100～300人未満,6～10名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,2.9%,0.42x,0.24x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[証券]0.24x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込2.9%
横河ソリューションサービス株式会社,0422-52-0439,yjp-recruit@cs.jp.yokogawa.com,商社（電子・電気機器・OA機器）,2千～5千人未満,46～50名,01：新規,コールド媒体一括,要注意(大),競合ATS確認,3,3.5%,0.42x,0.30x,1.15x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[商社（電子・電気機器・OA機器）]0.30x｜規模[2000-5000名]1.15x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込3.5%
学校法人法政大学,03-3264-6334,recruit@ml.hosei.ac.jp,学校法人,1千～2千人未満,11～15名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,3,2.6%,0.42x,0.18x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[学校法人]0.18x｜規模[1000-2000名]1.30x｜新卒採用[11-15名]1.52x｜スタンダード提案｜成約見込2.6%
株式会社オリエンタルコンサルタンツ,03-6311-7551,saiyo@oriconsul.com,建設コンサルタント,1千～2千人未満,51～100名,01：新規,コールド媒体一括,有効(上限),スタンダード提案,3,3.2%,0.42x,0.26x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[建設コンサルタント]0.26x｜規模[1000-2000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込3.2%
株式会社スリーエスコンサルタンツ,06-6375-5885,,建設コンサルタント,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.2%,0.42x,0.26x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[建設コンサルタント]0.26x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.2%
株式会社ツツミ,048-431-6691,saiyou-1@tsutsumi.co.jp,専門店（メガネ・貴金属・ジュエリー）,500～1千人未満,51～100名,89：リサイクル,コールド媒体一括,有効(中堅上),スタンダード提案,3,3.1%,0.42x,0.26x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[専門店（メガネ・貴金属・ジュエリー）]0.26x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込3.1%
株式会社クラフティア（元九電工）,05068750144,jinjika@kyudenko.co.jp,設備工事,5千～1万人未満,101～200名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,3,2.8%,0.42x,0.39x,0.89x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[設備工事]0.39x｜規模[5000-1万名]0.89x｜新卒採用[101名+]1.10x｜競合ATS確認｜成約見込2.8%
株式会社高田工業所,093-632-2631,recruit@takada.co.jp,鉄鋼工業,1千～2千人未満,26～30名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,3,2.5%,0.42x,0.18x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[鉄鋼工業]0.18x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込2.5%
株式会社ユー花園,03-5477-1187,,空間デザイン・ディスプレイ,300～500人未満,16～20名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.2%,0.42x,0.21x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[空間デザイン・ディスプレイ]0.21x｜規模[300-500名]1.41x｜新卒採用[16-20名]1.52x｜ミニマム/ミドル｜成約見込3.2%
株式会社ワム,03-5428-8611,h.kobayashi@wamu-gr.co.jp,商社（薬品・化粧品）,100～300人未満,6～10名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.3%,0.42x,0.27x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[商社（薬品・化粧品）]0.27x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.3%
株式会社関東日立,03-5807-6380,,総合電機,300～500人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.2%,0.42x,0.21x,1.41x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[総合電機]0.21x｜規模[300-500名]1.41x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.2%
株式会社パリミキ,03-6432-0716,saiyou@paris-miki.jp,専門店（メガネ・貴金属・ジュエリー）,2千～5千人未満,51～100名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,3,2.8%,0.42x,0.26x,1.15x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[専門店（メガネ・貴金属・ジュエリー）]0.26x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込2.8%
株式会社星医療酸器,03-3899-2101,jinji@hosi.co.jp,商社（精密・医療機器）,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.3%,0.42x,0.27x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[商社（精密・医療機器）]0.27x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込3.3%
株式会社新日本科学PPD,03-6821-0780,ppdsnbl@disc.co.jp,薬品,500～1千人未満,51～100名,04：ジャッジ,コールド媒体一括,有効(中堅上),スタンダード提案,3,3.3%,0.42x,0.27x,1.30x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[薬品]0.27x｜規模[500-1000名]1.30x｜新卒採用[51-100名]1.32x｜スタンダード提案｜成約見込3.3%
株式会社第一コンサルタンツ,088-821-7770,personnel@daiichi-c.co.jp,建設コンサルタント,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.2%,0.42x,0.26x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[建設コンサルタント]0.26x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.2%
株式会社日立ICTビジネスサービス,045-871-2347,,総合電機,1千～2千人未満,26～30名,02：担当者未接触,コールド媒体一括,有効(上限),スタンダード提案,3,2.9%,0.42x,0.21x,1.30x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[総合電機]0.21x｜規模[1000-2000名]1.30x｜新卒採用[21-30名]1.53x｜スタンダード提案｜成約見込2.9%
株式会社電通デジタル,03-6217-7000,,広告,100～300人未満,101～200名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,2.6%,0.42x,0.29x,1.12x,1.10x,4,経路[コールド媒体一括]0.42x｜業種[広告]0.29x｜規模[100-300名]1.12x｜新卒採用[101名+]1.10x｜ミニマム/ミドル｜成約見込2.6%
株式会社日立プラントコンストラクション,03-6758-2199,recruit.hpc.jt@hitachi.com,総合電機,1千～2千人未満,16～20名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,3,2.9%,0.42x,0.21x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[総合電機]0.21x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込2.9%
日立プラント建設サービス株式会社,03-6386-3001,hps.saiyou.np@hitachi.com,総合電機,1千～2千人未満,46～50名,02：担当者未接触,コールド媒体一括,有効(上限),スタンダード提案,3,2.7%,0.42x,0.21x,1.30x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[総合電機]0.21x｜規模[1000-2000名]1.30x｜新卒採用[31-50名]1.41x｜スタンダード提案｜成約見込2.7%
株式会社日本線路技術,03-5284-6061,,鉄道,100～300人未満,6～10名,89：リサイクル,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,3.2%,0.42x,0.26x,1.12x,1.55x,4,経路[コールド媒体一括]0.42x｜業種[鉄道]0.26x｜規模[100-300名]1.12x｜新卒採用[6-10名]1.55x｜ミニマム/ミドル｜成約見込3.2%
興和株式会社人事部人事課,052-963-3159,recruit@kowa.co.jp,薬品,2千～5千人未満,51～100名,02：担当者未接触,コールド媒体一括,要注意(大),競合ATS確認,3,2.9%,0.42x,0.27x,1.15x,1.32x,4,経路[コールド媒体一括]0.42x｜業種[薬品]0.27x｜規模[2000-5000名]1.15x｜新卒採用[51-100名]1.32x｜競合ATS確認｜成約見込2.9%
国立大学法人東京工業大学,03-5734-2046,jin.saiyo@jim.titech.ac.jp,学校法人,1千～2千人未満,16～20名,89：リサイクル,コールド媒体一括,有効(上限),スタンダード提案,3,2.6%,0.42x,0.18x,1.30x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[学校法人]0.18x｜規模[1000-2000名]1.30x｜新卒採用[16-20名]1.52x｜スタンダード提案｜成約見込2.6%
三井住友トラスト・ビジネスサービス株式会社,03-6737-0920,,各種ビジネスサービス・BPO,2千～5千人未満,26～30名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,3,2.9%,0.42x,0.23x,1.15x,1.53x,4,経路[コールド媒体一括]0.42x｜業種[各種ビジネスサービス・BPO]0.23x｜規模[2000-5000名]1.15x｜新卒採用[21-30名]1.53x｜競合ATS確認｜成約見込2.9%
三井住友トラストTAソリューション株式会社,03-3323-3401,jinji@smttas.jp,各種ビジネスサービス・BPO,100～300人未満,11～15名,01：新規,コールド媒体一括,主戦場(スイート),ミニマム/ミドル,3,2.8%,0.42x,0.23x,1.12x,1.52x,4,経路[コールド媒体一括]0.42x｜業種[各種ビジネスサービス・BPO]0.23x｜規模[100-300名]1.12x｜新卒採用[11-15名]1.52x｜ミニマム/ミドル｜成約見込2.8%
三菱ふそうトラック・バス株式会社,044-330-7700,mftbc_hr_marketing@daimlertruck.com,自動車・自動車部品,1万人～,46～50名,89：リサイクル,コールド媒体一括,要注意(大),競合ATS確認,3,2.9%,0.42x,0.61x,0.47x,1.41x,4,経路[コールド媒体一括]0.42x｜業種[自動車・自動車部品]0.61x｜規模[1万名超]0.47x｜新卒採用[31-50名]1.41x｜競合ATS確認｜成約見込2.9%
