法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
スガノ農機株式会社,,,100～300人未満,07:100-300,6～10名,3:6-10,茨城県,関東,029-886-0031,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2024,,05：コンバート,sugano-net.co.jp,独自ドメイン,採用専用,,○,
丸井織物株式会社,繊維,製造・メーカー,,,6～10名,3:6-10,石川県,中部・北陸,0767-76-2058,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,,99：アーカイブ,maruig.co.jp,独自ドメイン,採用専用,,○,
名古屋スバル自動車株式会社,,,,,11～15名,4:11-15,愛知県,中部・北陸,052-901-8611,,,,,ミドルプラン,ミドルプラン,ライト,あり,,,2025/10,2026/09,11,2024,,05：コンバート,tokai.subaru.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社大紀アルミニウム工業所,非鉄金属,製造・メーカー,300～500人未満,08:300-500,3～5名,2:3-5,大阪府,近畿,06-6444-2751,上場,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2025/09,2026/08,11,2024,マイナビ掲載リスト,05：コンバート,dik-net.com,独自ドメイン,個人名/その他,,○,
株式会社ジェピコ,,,,,3～5名,2:3-5,東京都,関東,0363629636,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2024,,05：コンバート,jepico.co.jp,独自ドメイン,個人名/その他,,○,
株式会社コスギ不動産ホールディングス,不動産,建設・不動産,,,16～20名,5:16-20,熊本県,九州・沖縄,096-366-5062,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2024,マイナビ掲載リスト,05：コンバート,kosugi-f.com,独自ドメイン,個人名/その他,あり,○,
東栄ホームサービス株式会社,,,,,11～15名,4:11-15,東京都,関東,042-463-7500,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,,99：アーカイブ,touei.co.jp,独自ドメイン,個人名/その他,,○,
JESCOホールディングス株式会社,,,,,不明,,東京都,関東,03-6382-7123,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,,01：新規,jesco.co.jp,独自ドメイン,人事・総務,,○,
日本リック株式会社,人材サービス（派遣）,人材・専門・公共サービス,100～300人未満,07:100-300,,,東京都,関東,03-5272-5811,,1984,42,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,,05：コンバート,nipponrick.co.jp,独自ドメイン,人事・総務,,○,○
ナカザワ建販株式会社,商社,商社・卸,300～500人未満,08:300-500,不明,,大阪府,近畿,072-355-1120,,,,,スタンダード,スタンダード,スタンダード,,,,2025/10,2026/09,11,2024,,99：アーカイブ,ovo-c.com,独自ドメイン,個人名/その他,あり,○,
西部ゴム株式会社,商社（自動車関連・輸送用機器）,製造・メーカー,,,3～5名,2:3-5,大阪府,近畿,06-6311-5571,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,マイナビ掲載リスト,05：コンバート,seibugomu.co.jp,独自ドメイン,採用専用,,○,
岩田産業株式会社,商社（食料品）,商社・卸,500～1千人未満,09:500-1000,26～30名,6:21-30,福岡県,九州・沖縄,092-513-8807,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/10,2026/09,11,2024,マイナビ掲載リスト,05：コンバート,iwatasangyo.co.jp,独自ドメイン,人事・総務,あり,○,
内外日東株式会社,,,,,不明,,東京都,関東,03‐5460‐9700,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,,99：アーカイブ,naigainitto.com,独自ドメイン,採用専用,,○,
株式会社ビッグ・エー,,,,,16～20名,5:16-20,,,366971725,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2024,その他リスト,05：コンバート,aeonpeople.biz,独自ドメイン,個人名/その他,,○,
株式会社サンソウシステムズ,ソフトウエア,IT・ソフトウェア,100～300人未満,07:100-300,11～15名,4:11-15,東京都,関東,03-3845-1761,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/11,2026/10,11,2024,マイナビ掲載リスト,99：アーカイブ,sansou.co.jp,独自ドメイン,人事・総務,,○,
株式会社ハウスクリニック,,,,,6～10名,3:6-10,,,07037896335,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,,05：コンバート,houseclinic.co.jp,独自ドメイン,採用専用,,○,
ミネベアアクセスソリューションズ株式会社,自動車・自動車部品,製造・メーカー,500～1千人未満,09:500-1000,11～15名,4:11-15,,,050-3757-3706,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/11,2026/10,11,2024,マイナビ掲載リスト,05：コンバート,minebea-as.com,独自ドメイン,採用専用,,○,
大久自動車販売株式会社,商社（自動車関連・輸送用機器）,製造・メーカー,,,3～5名,2:3-5,福島県,北海道・東北,024-572-3241,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,その他リスト,05：コンバート,daiq.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ホテルゆのくに,ホテル・旅館,外食・サービス・レジャー,,,3～5名,2:3-5,石川県,中部・北陸,0761-77-1234,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,マイナビ掲載リスト,05：コンバート,yunokuni.jp,独自ドメイン,個人名/その他,,○,
株式会社冨士電機,商社（電子・電気機器・OA機器）,製造・メーカー,,,6～10名,3:6-10,長野県,中部・北陸,026-274-7101,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/11,2026/10,11,2024,マイナビ掲載リスト,05：コンバート,e-fuji.co.jp,独自ドメイン,個人名/その他,,○,
森久保薬品株式会社,,,,,6～10名,3:6-10,神奈川県,関東,046-222-2331,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,,05：コンバート,morikubo.co.jp,独自ドメイン,代表窓口,あり,○,
特定非営利活動法人（ＮＰＯ法人）ピースウィンズ・ジャパン,,,,,,,,,,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2025/11,2026/10,11,2024,,,peace-winds.org,独自ドメイン,個人名/その他,あり,,
株式会社グローバル・リンク・マネジメント,,,,,6～10名,3:6-10,東京都,関東,03-6415-6525,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,,05：コンバート,global-link-m.com,独自ドメイン,個人名/その他,,○,
株式会社中央倉庫,,,,,6～10名,3:6-10,京都府,近畿,075-321-9133,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,アウトバウンド架電,05：コンバート,chuosoko.co.jp,独自ドメイン,個人名/その他,,○,
株式会社オープンアップコンストラクション,,,,,,,,,,,,,,スタンダード,スタンダード,,,,,2026/01,2026/12,11,2024,,,openup-construction.co.jp,独自ドメイン,人事・総務,,,
新産住拓株式会社,住宅,建設・不動産,100～300人未満,07:100-300,6～10名,3:6-10,熊本県,九州・沖縄,096-356-3338,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2024,マイナビ掲載リスト,05：コンバート,shinsan.com,独自ドメイン,採用専用,,○,
天龍ホールディングス株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/12,2026/11,11,2024,,,tenryu-hd.co.jp,独自ドメイン,採用専用,あり,,
株式会社ILホールディングス,,,,,6～10名,3:6-10,愛知県,中部・北陸,0586-76-1611,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/12,2026/11,11,2024,,05：コンバート,group-il.com,独自ドメイン,個人名/その他,あり,○,
名糖運輸株式会社,運輸・交通・物流・倉庫,運輸・物流,1千～2千人未満,10:1000-2000,,,東京都,関東,03-5291-8110,,,,,ミニマムプラン,ミニマムプラン,ライトプラン700,あり,,,2025/12,2026/11,11,2024,,05：コンバート,cflogi.co.jp,独自ドメイン,人事・総務,あり,○,
株式会社かわでん,重電・産業用電気機器,製造・メーカー,,,11～15名,4:11-15,東京都,関東,03-6433-0226,上場,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/12,2026/11,11,2024,マイナビ掲載リスト,05：コンバート,mail-kawaden.co.jp,独自ドメイン,採用専用,,○,
株式会社旭物産,食品,製造・メーカー,100～300人未満,07:100-300,6～10名,3:6-10,茨城県,関東,029-303-5500,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2024,マイナビ掲載リスト,02：担当者未接触,asahibsn.co.jp,独自ドメイン,採用専用,,○,
昭和フロント株式会社,建材・エクステリア,建設・不動産,100～300人未満,07:100-300,6～10名,3:6-10,東京都,関東,03-3293-6737,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2024,マイナビ掲載リスト,05：コンバート,sip.sanwa-ss.co.jp,独自ドメイン,個人名/その他,,○,
岸本建設株式会社,建設,建設・不動産,,,6～10名,3:6-10,東京都,関東,03-5816-3255,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/01,2026/12,11,2025,マイナビ掲載リスト,05：コンバート,kishimoto-kensetsu.co.jp,独自ドメイン,人事・総務,,○,
株式会社安田物産,給食・デリカ・フードビジネス,外食・サービス・レジャー,,,16～20名,5:16-20,神奈川県,関東,046-261-9700,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2025,マイナビ掲載リスト,05：コンバート,yasuda-bussan.co.jp,独自ドメイン,個人名/その他,,○,
アイニコグループ株式会社,,,,,,,,,,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/03,2027/02,11,2025,,,kaedekoumuten.jp,独自ドメイン,採用専用,,,
両毛丸善株式会社,,,,,1～2名,1:1-2,栃木県,関東,0284-70-2110,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2025,,05：コンバート,ryomomaruzen.co.jp,独自ドメイン,個人名/その他,,○,
株式会社島田商会,商社（化学・石油・ガス・電気）,製造・メーカー,100～300人未満,07:100-300,3～5名,2:3-5,大阪府,近畿,06-6262-1531,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2025,マイナビ掲載リスト,99：アーカイブ,shimada-shokai.co.jp,独自ドメイン,採用専用,,○,
社会福祉法人こうほうえん,老人福祉施設,医療・介護・福祉,1千～2千人未満,10:1000-2000,11～15名,4:11-15,鳥取県,中国・四国,0859-24-3111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2025,マイナビ掲載リスト,99：アーカイブ,kohoen.jp,独自ドメイン,個人名/その他,,○,
日本コンピューター株式会社,ソフトウエア,IT・ソフトウェア,,,6～10名,3:6-10,埼玉県,関東,048-649-1666,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2025,マイナビ掲載リスト,99：アーカイブ,nck.co.jp,独自ドメイン,個人名/その他,,○,
生活協同組合コープかごしま,生活協同組合,流通・小売,,,6～10名,3:6-10,鹿児島県,九州・沖縄,099-286-1111,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2025,マイナビ掲載リスト,99：アーカイブ,kyushu.coop,独自ドメイン,個人名/その他,,○,
川口土木建築工業株式会社,建設・設備,建設・不動産,100～300人未満,07:100-300,26～30名,6:21-30,埼玉県,関東,048-224-5111,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/06,2027/05,11,2025,マイナビ掲載リスト,99：アーカイブ,kawado.co.jp,独自ドメイン,個人名/その他,,○,
オダケホーム株式会社,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,不明,,富山県,中部・北陸,0766-55-4101,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/03,2027/02,11,2025,,01：新規,odakehome.co.jp,独自ドメイン,個人名/その他,,○,
社会福祉法人桃林会,介護・保育・医療法人等,医療・介護・福祉,100～300人未満,07:100-300,6～10名,3:6-10,大阪府,近畿,072-654-5094,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2025,その他リスト,05：コンバート,yuikuen.com,独自ドメイン,採用専用,,○,
株式会社オンワードコーポレートデザイン,商社,商社・卸,100～300人未満,07:100-300,6～10名,3:6-10,東京都,関東,03-5226-1333,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/04,2027/03,11,2025,,05：コンバート,onward.co.jp,独自ドメイン,個人名/その他,,○,
株式会社国大グループホールディングス,,,10～20人未満,03:10-20,3～5名,2:3-5,埼玉県,関東,048-827-0005,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2025,,89：リサイクル,kokudai.com,独自ドメイン,人事・総務,,○,
愛知スズキ販売株式会社,商社（自動車関連・輸送用機器）,製造・メーカー,,,6～10名,3:6-10,愛知県,中部・北陸,052-871-7305,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2025,マイナビ掲載リスト,05：コンバート,atg.co.jp,独自ドメイン,個人名/その他,,○,
NDSインフォス株式会社,情報処理,IT・ソフトウェア,,,11～15名,4:11-15,東京都,関東,03-6712-3283,,2005,21,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2025,マイナビ掲載リスト,05：コンバート,nds-infos.co.jp,独自ドメイン,採用専用,,○,○
株式会社スズカ未来,商社（食品・農林・水産）,製造・メーカー,,,3～5名,2:3-5,三重県,近畿,059-378-0390,,,,,ミニマムプラン,ミニマムプラン,,,,,2026/04,2027/03,11,2025,マイナビ掲載リスト,05：コンバート,suzukamirai.jp,独自ドメイン,採用専用,,○,
鳥取県生活協同組合,生活協同組合,流通・小売,100～300人未満,07:100-300,3～5名,2:3-5,鳥取県,中国・四国,0858-85-0001,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2025,マイナビ掲載リスト,05：コンバート,tottori.coop,独自ドメイン,個人名/その他,あり,○,
株式会社波多野工務店,住宅,建設・不動産,,,3～5名,2:3-5,愛知県,中部・北陸,0587-54-8255,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2025,マイナビ掲載リスト,05：コンバート,hatanokoumuten.co.jp,独自ドメイン,個人名/その他,あり,○,
日経印刷株式会社,,,300～500人未満,08:300-500,21～25名,6:21-30,東京都,関東,03-6758-1001,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/07,2027/06,11,2025,,05：コンバート,nik-prt.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ナ・デックス,,,,,6～10名,3:6-10,愛知県,中部・北陸,052-323-2215,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2026/06,2027/05,11,2025,,99：アーカイブ,nadex.co.jp,独自ドメイン,個人名/その他,,○,
大昭和紙工産業株式会社,紙・パルプ,製造・メーカー,500～1千人未満,09:500-1000,11～15名,4:11-15,静岡県,中部・北陸,0545-32-1500,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2025/09,2026/08,11,2025,マイナビ掲載リスト,05：コンバート,daishowasiko.com,独自ドメイン,個人名/その他,あり,○,
株式会社アットハウジング,住宅,建設・不動産,50～100人未満,06:50-100,6～10名,3:6-10,愛媛県,中国・四国,089-976-7255,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2025,マイナビ掲載リスト,05：コンバート,athousing-az.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社ホクレン油機サービス,商社（自動車・輸送機器）,製造・メーカー,,,3～5名,2:3-5,北海道,北海道・東北,011-892-1551,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2025,マイナビ掲載リスト,99：アーカイブ,hokuren-yuki-s.co.jp,独自ドメイン,採用専用,あり,○,
株式会社東流社,商社,商社・卸,500～1千人未満,09:500-1000,3～5名,2:3-5,宮城県,北海道・東北,022-287-7555,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2025,,05：コンバート,toryusha.co.jp,独自ドメイン,個人名/その他,,○,
三和電子機器株式会社,コンピュータ・通信機器,公共インフラ・エネルギー,100～300人未満,07:100-300,3～5名,2:3-5,大阪府,近畿,072-963-1231,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2025,マイナビ掲載リスト,05：コンバート,sanwa-denshi.co.jp,独自ドメイン,個人名/その他,あり,○,
オーク設備工業株式会社,建設,建設・不動産,100～300人未満,07:100-300,11～15名,4:11-15,東京都,関東,03-3553-2911,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2025,マイナビ掲載リスト,05：コンバート,oaksetsubi.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社ＮＴＳロジ,物流・倉庫,運輸・物流,,,6～10名,3:6-10,東京都,関東,042-474-3910,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2025/11,2026/10,11,2025,マイナビ掲載リスト,05：コンバート,nts-group.co.jp,独自ドメイン,代表窓口,あり,○,
株式会社ジョイパック,その他サービス（個人向け）,その他,300～500人未満,08:300-500,46～50名,7:31-50,茨城県,関東,029-852-3788,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/06,2027/05,11,2025,,05：コンバート,joypack.co.jp,独自ドメイン,採用専用,あり,○,
中央魚類株式会社,商社,商社・卸,100～300人未満,07:100-300,3～5名,2:3-5,東京都,関東,03-6633-3000,上場,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2025,,05：コンバート,marunaka-net.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社復建技術コンサルタント,建設コンサルタント,建設・不動産,,,3～5名,2:3-5,宮城県,北海道・東北,022-217-2021,,1949,77,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2025,マイナビ掲載リスト,05：コンバート,sendai.fgc.co.jp,独自ドメイン,個人名/その他,あり,○,○
リーシング・マネジメント・コンサルティング株式会社,コンサルティング,人材・専門・公共サービス,30～50人未満,05:30-50,不明,,東京都,関東,03-5419-1900,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/08,2026/07,11,2025,,01：新規,lmc-c.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社ホクレン商事,,,,,6～10名,3:6-10,北海道,北海道・東北,011-756-3211,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/08,2026/07,11,2025,,05：コンバート,hokurenshoji.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社日産サティオ群馬,商社（自動車関連・輸送用機器）,製造・メーカー,,,6～10名,3:6-10,群馬県,関東,027-361-2332,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/08,2026/07,11,2025,マイナビ掲載リスト,05：コンバート,satio-gunma.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社共栄堂,流通・小売・物販,流通・小売,300～500人未満,08:300-500,,,新潟県,中部・北陸,025-383-1200,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/08,2026/07,11,2025,,05：コンバート,kyoueido.net,独自ドメイン,個人名/その他,あり,○,
新教育総合研究会株式会社,教育,人材・専門・公共サービス,,,46～50名,7:31-50,大阪府,近畿,06-6352-3912,,,,,スタンダード,スタンダード,,,,,2025/08,2026/07,11,2025,マイナビ掲載リスト,99：アーカイブ,shinkyoiku.com,独自ドメイン,採用専用,あり,○,
株式会社サイエンスアーツ,情報処理,IT・ソフトウェア,,,3～5名,2:3-5,東京都,関東,03-6825-0619,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2025/08,2026/07,11,2025,,05：コンバート,science-arts.com,独自ドメイン,人事・総務,あり,○,
信州うえだ農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,500～1千人未満,09:500-1000,6～10名,3:6-10,長野県,中部・北陸,0268-25-7800,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/08,2026/07,11,2025,,05：コンバート,ued.nn-ja.or.jp,独自ドメイン,人事・総務,あり,○,
クシダ工業株式会社,,,,,6～10名,3:6-10,群馬県,関東,027-362-1231,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2025/09,2026/08,11,2025,,05：コンバート,kushida.co.jp,独自ドメイン,採用専用,あり,○,
株式会社あいネットサービス,その他サービス（個人向け）,その他,500～1千人未満,09:500-1000,,,静岡県,中部・北陸,054-285-1414,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,,05：コンバート,mail.aigsite.jp,独自ドメイン,人事・総務,あり,○,
株式会社アドミック,人材派遣・人材紹介,人材・専門・公共サービス,,,6～10名,3:6-10,大阪府,近畿,06-6214-6300,,,,,ミニマムプラン,ミドルプラン,,,あり,,2025/09,2026/08,11,2025,マイナビ掲載リスト,05：コンバート,admic.jp,独自ドメイン,採用専用,あり,○,
中央自動車工業株式会社,商社（自動車関連・輸送用機器）,製造・メーカー,100～300人未満,07:100-300,11～15名,4:11-15,大阪府,近畿,06-6443-5182,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,マイナビ掲載リスト,05：コンバート,central-auto.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社落合,商社（鉄鋼・金属）,製造・メーカー,100～300人未満,07:100-300,1～2名,1:1-2,東京都,関東,03-3843-7251,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,マイナビ掲載リスト,01：新規,ochiai-net.co.jp,独自ドメイン,採用専用,あり,○,
諏訪信用金庫,,,,,11～15名,4:11-15,長野県,中部・北陸,0266-23-4567,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,,05：コンバート,suwashinkin.jp,独自ドメイン,人事・総務,あり,○,
月島環境エンジニアリング株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,,,tske.co.jp,独自ドメイン,採用専用,あり,,
全国共済農業協同組合連合会,共済,金融・保険,不明,,1～2名,1:1-2,愛知県,中部・北陸,052-951-3645,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,マイナビ掲載リスト,99：アーカイブ,ja-kyosai.or.jp,独自ドメイン,個人名/その他,あり,○,
ICDAホールディングス株式会社,商社（自動車関連・輸送用機器）,製造・メーカー,,,不明,,三重県,近畿,059-381-5540,上場,,,,ミニマムプラン,ミニマムプラン,,,,,2025/09,2026/08,11,2025,マイナビ掲載リスト,05：コンバート,icda.jp,独自ドメイン,個人名/その他,あり,○,
アマノ機工株式会社,,,30～50人未満,05:30-50,不明,,愛知県,中部・北陸,0565-53-1051,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,,99：アーカイブ,amanokiko.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社ニプロン,半導体・電子部品・その他,製造・メーカー,,,16～20名,5:16-20,大阪府,近畿,06-6430-1101,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,マイナビ掲載リスト,05：コンバート,nipron.co.jp,独自ドメイン,個人名/その他,あり,○,
阪九フェリー株式会社,運輸・交通・物流・倉庫,運輸・物流,100～300人未満,07:100-300,不明,,福岡県,九州・沖縄,093-481-6081,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,その他リスト,05：コンバート,han9f.co.jp,独自ドメイン,採用専用,,○,
社会福祉法人愛生福祉会,介護・保育・医療法人等,医療・介護・福祉,500～1千人未満,09:500-1000,,,愛知県,中部・北陸,052-916-3759,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,,05：コンバート,aiseifukusikai.jp,独自ドメイン,個人名/その他,あり,○,
株式会社はなまる,,,不明,,16～20名,5:16-20,大阪府,近畿,06-6613-6000,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,,99：アーカイブ,sushi-hanamaru.com,独自ドメイン,採用専用,あり,○,
八光エルアール株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,,,hakko-group.co.jp,独自ドメイン,個人名/その他,あり,,
株式会社大西熱学,機械,製造・メーカー,100～300人未満,07:100-300,1～2名,1:1-2,愛知県,中部・北陸,052-262-6751,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,マイナビ掲載リスト,89：リサイクル,ohnishi.co.jp,独自ドメイン,採用専用,あり,○,
株式会社キーレックス・ワイテック・インターナショナル,自動車・自動車部品,製造・メーカー,,,6～10名,3:6-10,広島県,中国・四国,082-822-4475,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/10,2026/09,11,2025,マイナビ掲載リスト,05：コンバート,yki.co.jp,独自ドメイン,採用専用,あり,○,
静岡トヨタ自動車株式会社,鉄道,運輸・物流,1千～2千人未満,10:1000-2000,16～20名,5:16-20,静岡県,中部・北陸,054-264-7021,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,マイナビ掲載リスト,05：コンバート,shizuokatoyota.co.jp,独自ドメイン,採用専用,あり,○,
株式会社ショービ,専門店（アパレル・ファッション関連）,流通・小売,,,11～15名,4:11-15,静岡県,中部・北陸,053-463-0035,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,マイナビ掲載リスト,05：コンバート,syohbi.co.jp,独自ドメイン,採用専用,あり,○,
株式会社JR西日本コミュニケーションズ,その他ビジネスサービス,人材・専門・公共サービス,300～500人未満,08:300-500,6～10名,3:6-10,大阪府,近畿,06-6344-1883,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,マイナビ掲載リスト,99：アーカイブ,jcomm.co.jp,独自ドメイン,個人名/その他,あり,○,
三英電業株式会社,電気工事,製造・メーカー,300～500人未満,08:300-500,16～20名,5:16-20,東京都,関東,03-3495-8111,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,,99：アーカイブ,sanei-dengyo.com,独自ドメイン,個人名/その他,,○,
株式会社アーク,メーカー （機械・電気・電子）,製造・メーカー,500～1千人未満,09:500-1000,不明,,大阪府,近畿,06-6260-1801,,,,,ミニマムプラン,ミニマムプラン,,,,あり,2025/12,2026/11,11,2025,,01：新規,arkfarm.co.jp,独自ドメイン,個人名/その他,あり,○,
株式会社スズキ自販宮城,商社,商社・卸,100～300人未満,07:100-300,11～15名,4:11-15,宮城県,北海道・東北,022-284-8181,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,その他リスト,99：アーカイブ,j-miyagi.sdr.suzuki,独自ドメイン,個人名/その他,あり,○,
アイシン辰栄株式会社,自動車部品・用品生産,製造・メーカー,1千～2千人未満,10:1000-2000,3～5名,2:3-5,愛知県,中部・北陸,0566-48-7000,,,,,ミニマムプラン,ミニマムプラン,,,,,2025/11,2026/10,11,2025,アウトバウンド架電,99：アーカイブ,aisin-sinei.co.jp,独自ドメイン,個人名/その他,あり,○,
